instrument,current_contracts,mark_price_usd,current_notional,target_notional,delta_notional,delta_weight,estimated_cost,reason,state,priority,warnings
BTCUSDT_PERP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rebalance,,1,below_min_trade_size
ETHUSDT_PERP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,rebalance,,2,below_min_trade_size
