date,equity
2023-01-01,5000.0
2023-01-02,5000.0
2023-01-03,5000.0
2023-01-04,5000.0
2023-01-05,5000.0
2023-01-06,5000.0
2023-01-07,5000.0
2023-01-08,5000.0
2023-01-09,5000.0
2023-01-10,5000.0
2023-01-11,4994.694786532477
2023-01-12,5290.660989977848
2023-01-13,5586.263103178597
2023-01-14,6299.119210052138
2023-01-15,6178.250582259777
2023-01-16,6202.668340478985
2023-01-17,6172.665402939768
2023-01-18,5832.342987924708
2023-01-19,6081.777863010171
2023-01-20,6741.495223419262
2023-01-21,6539.601655554039
2023-01-22,6513.628570438397
2023-01-23,6732.651736276921
2023-01-24,6385.400590789202
2023-01-25,6687.809277594284
2023-01-26,6598.272246619765
2023-01-27,6637.610416660348
2023-01-28,6536.669490210121
2023-01-29,6895.984959019741
2023-01-30,6437.6972674331555
2023-01-31,6600.254463983327
2023-02-01,6877.732409456943
2023-02-02,6850.260993623001
2023-02-03,6932.673799602166
2023-02-04,6901.766197321548
2023-02-05,6692.678852683065
2023-02-06,6573.344689550377
2023-02-07,6872.638039809137
2023-02-08,6735.19583178788
2023-02-09,6112.25987146217
2023-02-10,6008.1835771110045
2023-02-11,6113.61450198707
2023-02-12,6046.818115659614
2023-02-13,5844.234198103069
2023-02-14,6066.723063261018
2023-02-15,6840.367244241424
2023-02-16,6521.600702407994
2023-02-17,6842.402757747233
2023-02-18,6858.364339662733
2023-02-19,6785.891137508657
2023-02-20,6941.922721212685
2023-02-21,6698.464546404757
2023-02-22,6578.613876540304
2023-02-23,6552.504559251189
2023-02-24,6310.528511084581
2023-02-25,6254.831689946565
2023-02-26,6450.697352400192
2023-02-27,6400.42824436244
2023-02-28,6280.974360446794
2023-03-01,6441.315435199118
2023-03-02,6418.398828175401
2023-03-03,6086.805874926813
2023-03-04,6113.220245320438
2023-03-05,6181.109147513476
2023-03-06,6166.476445062235
2023-03-07,6059.612960899491
2023-03-08,5984.716210984641
2023-03-09,5906.745357514873
2023-03-10,5790.395336917794
2023-03-11,5921.15498571075
2023-03-12,5621.688591217799
2023-03-13,5803.040825724685
2023-03-14,5844.15641409815
2023-03-15,6031.073067511128
2023-03-16,5789.61684406729
2023-03-17,5201.625660326505
2023-03-18,5139.613712243134
2023-03-19,5099.695877042902
2023-03-20,5026.791092716417
2023-03-21,4579.0400218221885
2023-03-22,4219.045080844557
2023-03-23,4552.198032703196
