date,total_pnl,price_pnl,funding_pnl,costs,equity
2023-01-01,0.0,0.0,0.0,0.0,5000.0
2023-01-02,0.0,0.0,0.0,0.0,5000.0
2023-01-03,0.0,0.0,0.0,0.0,5000.0
2023-01-04,0.0,0.0,0.0,0.0,5000.0
2023-01-05,0.0,0.0,0.0,0.0,5000.0
2023-01-06,0.0,0.0,0.0,0.0,5000.0
2023-01-07,0.0,0.0,0.0,0.0,5000.0
2023-01-08,0.0,0.0,0.0,0.0,5000.0
2023-01-09,0.0,0.0,0.0,0.0,5000.0
2023-01-10,0.0,0.0,0.0,0.0,5000.0
2023-01-11,-5.305213467522489,0.0,0.0,5.305213467522489,4994.694786532477
2023-01-12,295.9662034453705,297.2716781229916,1.9517973630390253,3.25727204066007,5290.660989977848
2023-01-13,295.60211320074836,296.2230154179346,0.9365547347418869,1.557456951928117,5586.263103178597
2023-01-14,712.8561068735418,709.6624196315889,9.012371021557898,5.8186837796052275,6299.119210052138
2023-01-15,-120.86862779236142,-120.43516814667386,1.745152248309268,2.1786118939968366,6178.250582259777
2023-01-16,24.417758219208356,24.113337278603055,1.8630709561974057,1.5586500155921055,6202.668340478985
2023-01-17,-30.002937539217392,-31.612244564375104,2.2940430013437427,0.6847359761860314,6172.665402939768
2023-01-18,-340.32241501505996,-341.46057498295716,2.3259701368194765,1.187810168922249,5832.342987924708
2023-01-19,249.43487508546326,248.82636381606,1.7573180168300981,1.1488067474267827,6081.777863010171
2023-01-20,659.7173604090921,658.6019563593584,2.1962712792062242,1.0808672294725894,6741.495223419262
2023-01-21,-201.89356786522407,-203.80982845576048,2.862247511123294,0.9459869205868862,6539.601655554039
2023-01-22,-25.973085115641965,-28.46925152522146,2.971878072386884,0.47571166280738914,6513.628570438397
2023-01-23,219.02316583852385,216.64216400641732,2.959885566674045,0.578883734567511,6732.651736276921
2023-01-24,-347.2511454877184,-349.90195190822385,3.1691619809081546,0.5183555604027897,6385.400590789202
2023-01-25,302.40868680508135,299.9847937871881,2.8361468477914884,0.4122538298982519,6687.809277594284
2023-01-26,-89.53703097451924,-91.96517045387537,2.857025259480217,0.4288857801240956,6598.272246619765
2023-01-27,39.33817004058385,36.86793392663925,2.7747483493485463,0.3045122354039551,6637.610416660348
2023-01-28,-100.94092645022747,-103.42460604898541,2.7407577311518154,0.25707813239385935,6536.669490210121
2023-01-29,359.31546880961935,356.88165957772264,2.678652496877727,0.24484326498099473,6895.984959019741
2023-01-30,-458.2876915865852,-460.6089872235914,2.9843153152012722,0.663019678195138,6437.6972674331555
2023-01-31,162.55719655017182,160.2303861519737,2.5836927728735493,0.2568823746754393,6600.254463983327
2023-02-01,277.47794547361616,275.1071343949085,2.553687673962037,0.18287659525440703,6877.732409456943
