date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,SOLUSDT_PERP,XRPUSDT_PERP
2023-01-01,0.0,0.0,0.0,0.0,0.0
2023-01-02,0.0,0.0,0.0,0.0,0.0
2023-01-03,0.0,0.0,0.0,0.0,0.0
2023-01-04,0.0,0.0,0.0,0.0,0.0
2023-01-05,0.0,0.0,0.0,0.0,0.0
2023-01-06,0.0,0.0,0.0,0.0,0.0
2023-01-07,0.0,0.0,0.0,0.0,0.0
2023-01-08,0.0,0.0,0.0,0.0,0.0
2023-01-09,0.0,0.0,0.0,0.0,0.0
2023-01-10,0.0,0.0,0.0,0.0,0.0
2023-01-11,1309.4626095483993,4451.887586846147,3339.5737122542737,63.49868859335548,-835.5774027578226
2023-01-12,1804.6925590276974,1769.1301241923907,5724.77458944359,259.40513388487517,-441.9975934514474
2023-01-13,2293.8050118718106,765.8526419485822,6015.322360666388,477.0086757860387,448.0113097271827
2023-01-14,3581.2984135476245,-1224.1565760509927,1526.5089704946759,108.77992965694142,3187.3835443137295
2023-01-15,3124.657297569449,-247.1426863962795,3151.4006320908516,238.81154108555737,2296.5808542839395
2023-01-16,2388.179565459063,860.9114972396846,3687.5979876902693,457.7789350833475,2605.5320145276364
2023-01-17,2246.7662106017474,1185.696755811452,3187.7831808928013,486.2520360095877,2893.501816684413
2023-01-18,1133.2321716152776,890.8162777624832,2611.714575552703,448.79091010090275,3070.8010156856017
2023-01-19,1412.6665140296157,1242.527841318264,3964.7980674745704,469.9991494083636,2910.008427769187
2023-01-20,1379.9780536289668,455.24952515595544,3780.067152909553,560.6074399162924,3824.097828389233
2023-01-21,736.1761155266221,1205.6639373315704,3876.4642664237685,593.0297403438544,3588.665940374185
2023-01-22,581.0511025516258,1621.2153196932131,3785.3679388709147,621.4582266688046,3390.9074122154434
2023-01-23,594.1158313711669,2101.2396559932686,3532.723620509304,671.2786623983458,3100.642229727914
2023-01-24,346.40800797865825,2579.3944466939224,3532.723620509304,657.0475408230042,2876.5370014504074
2023-01-25,476.582468399277,2768.534343585081,3148.8695117456355,686.188881293009,2919.8247949769975
2023-01-26,706.3295575907928,2909.1031316376316,3019.3842451498062,711.9067599492207,2653.2763056725503
2023-01-27,935.6796434182966,2963.612782712043,2764.554888698098,704.5838534899782,2631.5688316815836
2023-01-28,1071.158343740912,3066.4300454841073,2665.475071058696,693.5767871796082,2503.3597525366786
2023-01-29,1182.4890508207002,3099.9102639978482,2466.730305159998,776.6284884872654,2474.241891534189
2023-01-30,1327.7710601291972,2783.5619173491045,2891.4107384809067,826.252771034568,2171.0035130062242
2023-01-31,1487.707753459877,2860.7885117559263,2808.7476594551995,794.7098589088803,2048.0462164201163
2023-02-01,1617.808652438625,2828.6114191509955,2670.806989032775,810.3027834613855,2072.4701559162186
2023-02-02,1163.1348924159563,2910.9231909199148,2935.453765403469,791.7102132032704,2198.7779380573916
2023-02-03,1400.1983760436613,2787.7603853627334,2811.9533968908336,791.7102132032704,2198.7779380573916
2023-02-04,1664.6985148155914,2670.577288764163,2733.400042288123,748.2684791780641,2183.055674954061
2023-02-05,2126.7516787786208,2533.7498555294756,2840.450513230538,737.6926107726382,1761.3553416887285
2023-02-06,2440.9138150957815,2471.598054826275,2990.628677062468,626.7679736751456,1470.0914793403329
2023-02-07,2606.8922785373393,2448.9680934059643,2956.8395522268033,640.0190279779421,1347.2810478519516
2023-02-08,2773.1955922631555,2382.9133545684685,3075.526041928388,595.3994076966533,1172.9656035433354
2023-02-09,2155.5060270813237,2171.192634645853,3606.7833538023265,431.163357339199,746.1141931812992
2023-02-10,2001.3724866299942,1528.0510068928488,3126.873609078888,104.35959025155933,1239.739116617753
2023-02-11,2707.959743357703,2551.2074449173674,4473.44405963801,-28.99593313223869,238.39281895468207
2023-02-12,2942.7168363897113,2961.812479549706,3626.709963906455,1.7763568394002505e-13,468.76072015412717
2023-02-13,1971.7739669257328,3255.8289404580532,3050.4942891212304,-107.98498352583024,1613.9178199691542
2023-02-14,2021.4636684686068,3140.0147787608284,3596.2024276673583,-107.98498352583024,1134.754587369749
2023-02-15,1869.1026255097702,3409.38156775205,3548.049375077846,100.83201080279434,1072.6344208575395
2023-02-16,1678.1518544077937,2081.1046452305955,4925.54698570994,42.24150843396819,328.68126351835326
2023-02-17,1432.7752974998227,2257.133881898025,5110.958658487028,132.04286939580172,101.08500460539338
2023-02-18,1300.6521140300586,2560.5215208735394,5207.829127742078,275.0966747889001,-176.0571496288742
2023-02-19,1047.8043426207712,2560.5215208735394,4922.74642775502,652.7103899882914,-817.7039164706244
2023-02-20,951.3283992146652,2843.5821146437706,4886.981357341244,1229.7365368143908,-88.37159198592894
2023-02-21,938.8785523301898,2869.5416426644833,4302.751211840232,1321.213138358846,-437.16069207777485
2023-02-22,1028.731080882935,2789.3485555421776,3869.8031306734933,1274.704217241766,-521.3776469339728
2023-02-23,611.0327434502394,3639.5017390119433,3895.018839495373,1029.5038334714345,-824.9428445710103
2023-02-24,354.02386075829736,3799.286930985212,3689.6234373532952,731.6324533303896,-1425.4333175728061
2023-02-25,376.1854659576143,3998.0131189669773,3414.593852994576,491.18499649906084,-1720.022565581769
2023-02-26,718.8705894311189,3678.262943929266,3627.0875842945575,456.5735003477768,-1519.2053819972798
2023-02-27,449.4036733466054,3643.416400503423,3582.373528951002,317.0036356065905,-2007.8027615923766
2023-02-28,405.649216875032,3541.681999506902,3466.50683004355,101.62055503210428,-2484.541398542413
2023-03-01,447.21944610140804,3580.626546233597,3432.48588096813,24.796771973681246,-2514.871354723186
2023-03-02,697.2932163096015,3435.4386009706864,3117.770247362883,-87.12657822250176,-2662.3713571343255
2023-03-03,291.3048438359321,3279.6005988767756,3145.6179990834394,-282.6663934223145,-3000.8101647815383
2023-03-04,127.98116533976528,3192.955953737757,2836.8907452728827,-490.16052756464524,-3352.01160808495
2023-03-05,-292.5386445549724,3040.2576582033257,2623.618775640642,-692.8217572060713,-3352.01160808495
2023-03-06,-585.5497706285729,2955.557200621039,2504.4406799756853,-897.6800864881843,-3056.77226228652
2023-03-07,-477.3265204002338,2955.557200621039,2514.8803316108215,-1143.5896823719065,-2916.0098187438875
2023-03-08,-1117.0358279120192,2755.080221358649,2286.4414902979415,-1414.1126408365974,-2427.329819594793
2023-03-09,-2069.594212267513,1471.0706124029005,1216.4275999896665,-2057.3442891652585,-3185.5632861746617
2023-03-10,-1753.6882924660244,1632.3158463361874,875.6619050991965,-2456.852927064768,-3281.4810290338223
2023-03-11,-1464.0592850423373,1259.6424036066069,651.4099035941092,-2776.602405496876,-2365.6700234050863
2023-03-12,-845.1411884881667,1863.966501112157,1560.37160914919,-2798.9492846081325,-1389.2901290428488
2023-03-13,-303.6943120388538,2842.8534866991245,2739.0286988099215,-2859.470763879169,-1058.9641468920777
2023-03-14,-493.7251824910849,664.7842537367942,2874.5105235165183,-2750.9434717005497,-1854.9823415029175
2023-03-15,-1006.762972188671,-1587.4969785678072,-203.59661138185174,-2549.262663426883,-3826.6480381685496
2023-03-16,-334.1183275336613,-1018.2729168387634,-1.4210854715202004e-13,-2607.331757697065,-5155.641605970769
2023-03-17,3555.188017167755,435.32115419759634,1522.443610610409,-2007.436934309288,-1926.7299276612794
2023-03-18,3408.059986272225,886.6097262943636,1639.506174391825,-1600.686468842012,-2465.1376441995735
2023-03-19,3572.098939790732,1412.2254100002588,1902.5207629644042,-1203.0144846607823,-1910.1404025838247
2023-03-20,3528.0846818264713,1758.607223594332,1748.387697170492,-881.2003003689408,-2083.720097039765
2023-03-21,3528.0846818264713,3079.315423443599,2343.492260068484,-543.1146986149815,501.3057527488754
2023-03-22,3127.6587792914506,3057.078231834681,2914.9152493246884,-500.35646603612025,399.99127351305907
2023-03-23,3003.457711199615,2894.424541029144,2898.6890364355877,-277.40434908764956,926.0243622480032
2023-03-24,2968.6942311825096,2881.118737001222,2633.5786171560044,-408.3810213920593,1108.2273932682037
2023-03-25,2796.5369306905654,2743.226110425744,2699.8438140349203,-469.1819614259661,1291.2111834228024
2023-03-26,2769.4508895686567,2682.362266075554,2633.851948096844,-438.5742159131268,1475.760680345818
2023-03-27,2187.759522919946,2763.793879969113,2710.771976135984,-653.4789825709885,1684.1956384039675
2023-03-28,1994.6054402128548,2803.5376099558466,2751.5733767472766,-700.1394993575128,1750.1440737265082
2023-03-29,1526.4357361688792,2965.5203030231564,2930.3187001617102,-670.122381650476,1907.6028789957772
2023-03-30,1206.48632782729,3047.7706770258355,3077.659384877045,-732.2436765507113,1935.8399337191192
2023-03-31,1236.2428467818454,3086.4640047494145,3112.0898997302747,-607.2680512087222,1957.9351975297432
2023-04-01,1294.4641799397139,3137.4647309033016,3164.94858832825,-617.5328814844312,1785.5896193443018
2023-04-02,1143.9903870449832,3137.4647309033016,3145.680519318033,-713.463369066701,1852.6151231198269
2023-04-03,912.0983058773493,3195.2730648420697,3304.594367336221,-800.9576599670897,1787.076601977271
2023-04-04,816.9395316178465,3248.566285163063,3318.416463261462,-792.8498091362646,1823.2279108213622
2023-04-05,428.5681170838868,3372.483411296619,3480.7959004369795,-814.1515309242927,1904.001040258224
2023-04-06,56.29766439732862,3532.821703435989,3509.215664723665,-905.0622256086186,1996.6027418343983
2023-04-07,6.394884621840902e-14,3519.23806884121,3495.312784418469,-947.6020974013284,2037.8470493389925
2023-04-08,-303.38812149875076,3379.7617571075903,3305.353272006983,-1101.0102206165936,1910.4866287700816
2023-04-09,-490.84946742053165,3299.4081107950547,3217.951444835471,-1140.0169998109855,1851.7739771379572
2023-04-10,-501.07951546542495,3224.2916404374255,3284.0993313146096,-1061.5374586061075,1928.99205417643
2023-04-11,-408.84784715318665,3605.1617171461667,3556.2429954644645,-300.19463161928513,2129.5528086168956
2023-04-12,-361.15206580010425,3532.413206564579,3603.0391625654397,444.0307588030905,2059.3648062667853
2023-04-13,-170.81842854373284,3398.371029779773,3230.7285056242713,1212.5406691433363,1987.5413669088846
2023-04-14,-60.761807341587684,3235.460547190491,2979.588359067816,1807.5802510196054,1916.609035380499
2023-04-15,184.01572603298584,3163.8585386033155,2919.024801499024,1849.820062688113,1883.280871176558
2023-04-16,552.3702502406584,3019.7025279086974,2821.1770572870428,1802.864399260207,1803.8857653033938
2023-04-17,698.1485552838261,2882.2679066771007,2788.4859418637907,1785.1906586526604,1845.90693752262
2023-04-18,941.7298647629399,2767.2131971862927,2753.623510927672,1761.0344760170515,1776.3989511060438
2023-04-19,274.7318741360283,3181.3351078049354,2594.608397634437,1913.484087758381,2035.840532666215
2023-04-20,0.0,3226.353645326903,2887.4179074631156,1747.0420580159926,2139.186389193986
2023-04-21,-34.36382694459746,2657.981311236951,3073.0502198115487,1584.052172286453,2650.5524697204473
2023-04-22,536.2701091641052,2228.5992921982647,3352.0177327202396,1291.081832636064,2592.0310332813233
2023-04-23,1466.6882170925337,2370.4350421175777,3059.715346866644,824.2629586727986,2278.8984352504417
2023-04-24,2270.819139402899,2281.3060135185456,2834.702488030443,490.01483497030796,2123.1575240778
2023-04-25,3204.7974086758004,1897.1825516565182,2327.5973126074655,454.0473812044383,2123.1575240778
2023-04-26,3143.044459955785,2068.074254195074,2429.9028380515247,190.71568784746796,2168.262759950145
2023-04-27,2875.3723858086964,2289.3503866831456,2612.972923003481,295.36192453879534,1926.942379965878
2023-04-28,2817.5945734433017,2135.874737816404,2229.9556061973085,620.9509632949508,2195.624119248031
2023-04-29,2527.705522869383,2337.314124282024,2176.25331797991,805.3918375942433,2153.3351972744376
2023-04-30,2592.7346385172386,2875.790639404079,2176.25331797991,888.9589402434299,1460.870076155009
2023-05-01,2491.8791587886085,3316.6477654649466,2640.6947255127325,658.1397284015911,892.6386218321181
2023-05-02,2483.0335845205364,3821.0744789632195,2416.0042787098832,728.575350677827,551.3123071285308
2023-05-03,2560.741698314189,3514.9777445513573,1948.789385649542,691.6042213672536,1283.8869501176557
2023-05-04,3284.0705615654147,3610.7445301344064,1441.938554808858,553.5356032393124,1109.7107502520053
2023-05-05,3189.158603459221,3636.6109524040367,2014.3896619945313,926.9454202447682,232.8953618974399
2023-05-06,2662.6762240362013,2268.118952312753,1654.790808193612,654.7824975916287,98.13408612803241
2023-05-07,1767.8982360502212,2537.8491881858467,2389.6408815683753,326.4051271958958,-299.58380876950014
2023-05-08,966.0008239293525,3221.9239781664264,2669.3296540695605,-548.8586536050236,-1.0800249583553523e-12
2023-05-09,451.69151698828864,3104.255375044697,1637.3333643488927,-1029.243387233144,1174.0932029607939
2023-05-10,-35.22250355364304,2978.4158590387347,1774.2951186952848,-1422.781047140828,748.4270478156011
2023-05-11,-1125.4728998779763,2163.246638825105,1999.5936064052594,-2191.7610934890554,34.03524900553077
2023-05-12,-1891.9343570993694,1890.1497513875784,2891.231765695122,-2428.5884442763913,-337.92148777068303
2023-05-13,-2417.8525815344906,1506.5498095066703,2683.325524141913,-2319.9004708106927,-1072.3716140062347
2023-05-14,-2632.46253239096,1388.817087870211,2208.7547783258356,-2156.6951529712296,-1613.270448441764
2023-05-15,-2431.899156532932,1818.3469676756197,2288.6201510988258,-1825.825763581061,-1635.3079611115625
2023-05-16,-3196.6720131940497,1128.1181643315567,2763.697537915165,-2286.379854705773,-625.132429853457
2023-05-17,-3405.8341400164227,336.8086612387468,2855.820677731805,-2286.379854705773,-1112.8252930329818
2023-05-18,-3627.7426993951767,-1488.7894398130493,1667.1780783072181,-2434.792124548201,-781.4976579363563
2023-05-19,-3941.236848973763,-1169.1194240005316,1012.9124321735175,-2589.364832557394,-1287.366462294794
2023-05-20,-4221.819869909212,-338.9121748487876,1313.6833743453703,-2950.506678495506,-1175.0779024011256
2023-05-21,-3715.0762912679847,-845.3965396006515,1270.499864762905,-2705.226843006038,-1463.8004613624196
2023-05-22,-4072.084501987084,-435.2774824601492,846.3092815050131,-2963.8461318132217,-1682.482602234532
2023-05-23,-3642.316488483965,-1904.568079720612,498.8998021851149,-2857.3914802092045,-1096.824149401103
2023-05-24,-3745.8999269684205,-1952.0477358927417,168.16777929817454,-2697.5333610630005,-1436.3511967776622
