date,ADAUSDT_PERP,AVAXUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETHUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MATICUSDT_PERP,SOLUSDT_PERP,UNIUSDT_PERP,XRPUSDT_PERP
2021-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-01-11,0.0,1102.4760841094435,407.04032487497335,938.2915711876003,921.0786146167977,-64.84761246555288,126.68720730800955,-65.86229406449327,380.3120548604881,522.7914111119952,203.85780867240703,77.99003350245442,-424.58894733952394,-45.63513968307889,466.4205802116568
2021-01-12,118.0072107848134,1173.192124197908,368.04038626020525,746.4432363238482,768.1408917592389,-36.37244808410132,299.648515044468,111.84744158552117,644.163670629431,502.2670522637566,160.56533116797053,176.28574564573182,-321.7846799843509,223.9055768061516,587.9156708097969
2021-01-13,113.62664294269676,1227.1513307209557,382.92131298905224,604.5451875376343,826.8790854769993,0.0,419.2571457552564,185.12716598726325,821.9885789582756,594.6176132577256,220.42756542226925,230.0148330686977,-227.37338019941956,395.15550229008693,568.4725493121089
2021-01-14,299.5202341380252,1671.1305457824326,495.46051888723525,604.5451875376343,1017.5415401580153,24.274061762203957,535.0203102234042,270.8265114777768,1116.7682906527423,713.623373736734,267.3912739779544,351.37288972847523,-251.82499720873454,581.2386754723964,638.3925003806287
2021-01-15,378.6772681615132,1852.5643269460636,462.7317908714826,517.2838624743424,791.0252835006575,13.50947204523777,517.2979579909011,249.63178251199986,1116.7682906527423,788.3935182360649,203.91771915353905,373.4140681824343,-271.8363126394979,809.4116084505309,559.2933084457961
2021-01-16,460.52047188361723,1533.8417593611946,462.7317908714826,585.5196777866776,925.2725264688365,44.98323274685476,673.5817362841191,249.63178251199986,1282.5927943413901,887.9808539906693,199.7039942524089,373.4140681824343,-348.443537943666,1099.3427167263912,520.7357521255
2021-01-17,446.00607851736186,1694.783725665226,380.60451852280767,623.6423257531833,968.2427979317515,47.38251300773985,686.5499222278551,219.82081470546814,1228.6856414074466,1104.1682475431837,174.24158048653678,444.6164326804926,-300.0031814955927,1219.9138345143551,461.33838554099674
2021-01-18,634.9012343546278,1551.273561880546,330.0051842370698,604.4268881653812,881.8626006111006,0.0,661.0185276584881,143.4284656971053,1267.5413277666237,1066.9537310183143,147.70917364636847,493.5843924894291,-284.1179361593335,1506.989177660851,426.18779865476023
2021-01-19,558.2124930609508,1648.8650958728708,183.15815070848654,260.2596698799216,586.0363245262415,-147.54080822351818,661.0185276584881,-174.39462024245597,1228.965629104398,814.1850665192502,-31.833178268881852,317.22616422272324,-318.9239695890675,1254.4946105841057,281.06132231691663
2021-01-20,895.432586936296,1621.4056474842534,261.1330165094614,518.7074617522238,637.9400917135915,-147.54080822351818,820.845105214942,-131.62114294967245,1379.0413825839578,1008.417772190216,21.212957491749137,393.1410711460429,-174.68080253737094,1558.1244050021694,430.6426748212287
2021-01-21,487.50352246429327,1590.4362131049982,176.48736115051082,406.2984967349238,351.9701825778076,-145.0646180353818,808.3424409053796,-138.5369162776502,690.0860273028625,686.3922974959063,-42.40905182312793,321.1647020357948,-199.2165040191778,908.1530174408222,325.3968653786588
2021-01-22,743.6397586837568,1799.0165176229086,231.10470497691148,510.8204444187731,510.3468630820982,-124.47005285850851,989.4829497213967,0.0,1013.9711222401946,997.0647798080583,17.226825387725533,408.5804391072753,-170.72105112136953,1105.9272572974771,563.7734043894919
2021-01-23,847.1015396443668,1734.6707273280465,216.11253291046057,589.0915545878042,499.3541764590318,-92.76757871569791,1121.6078178544603,93.5874634561097,1126.9804791012423,1161.98514001213,21.725671353256924,483.1355945940157,-132.1991737213038,1282.9527630437417,596.727787218332
2021-01-24,819.661099630256,1551.8077279152028,196.0006673191607,607.2366807301348,478.9235849300545,-65.14513051286734,1099.1733599681663,135.97019887991422,1195.4746788396817,1442.630645527275,16.651746313924654,490.93835051141383,-91.75082544925249,1220.7162179428851,587.9190855298091
2021-01-25,676.4435867285202,1603.8500822659928,120.40192138827855,599.3971365918732,415.3121203922468,-84.86975440069773,984.4579195162328,23.746133346214705,1149.8418857727538,1569.5961190988,-94.02265043403062,469.7748158490432,-87.0047434410363,1362.0865469798982,434.6134728495246
2021-01-26,786.1116101622706,1655.3774166775406,96.40469927216141,565.5580307539137,423.527359743263,-101.22916652450061,934.1900631098481,-29.15269387559654,1327.062141306149,1569.5961190988,-108.8674122107644,528.8214332144357,18.60226552922464,1408.4269555328976,450.6913267435186
2021-01-27,706.607372559921,1409.5105603244174,-13.231900197421893,606.4984454131686,339.8536693796794,-184.48125689472622,805.2733932817617,-73.86583520999747,1275.5470916348918,1422.6446646561674,-202.06652585925494,630.9839955044571,22.85126260440844,1907.9836273799378,398.6003990997884
2021-01-28,811.1851166708718,1324.4547442003216,-51.01329746941537,685.931401152531,453.0148672692894,186.52005651391735,770.2502386221217,67.80722001120944,1339.7053614236218,1391.7837389903605,-144.04239447510673,528.7529891783735,58.41369242103167,1750.9595003896795,436.1653812121482
2021-01-29,670.9219198639547,1249.6686267493333,-232.5188740748745,776.8119055814313,218.54004796535125,798.5548287388666,678.1809128439668,-87.62371681888473,1054.8215418006716,1169.0210583886387,-269.71891152478463,429.48946432438424,48.911993218433295,1950.7702615029625,364.4459366034596
2021-01-30,735.3189997157085,1249.6686267493333,-257.68393745260414,1071.747007528744,228.90554013732213,384.3261594294953,651.0129305799142,109.09438130418414,1054.8215418006716,1180.3040442418478,-253.3143993562722,465.62187951854895,89.81875890760853,1742.042100468582,515.3254091427941
2021-01-31,437.92092372241666,1390.8309320220565,-453.9667957625711,1412.1972773355121,142.36729186530195,567.9858801293237,597.6919501583836,105.42597495890612,891.0973742055135,929.4990794887947,-379.0781640463425,356.10038751665036,105.98123524828024,1392.609191544104,837.2475419958413
2021-02-01,416.64211030621505,1237.6484552340473,-546.0562046622402,1569.5923025027846,135.9898870366737,524.50745473652,506.31461867282906,100.17230908264182,1060.094287353702,912.2260787362117,-442.07697735217255,426.7298797981543,281.456340950247,1540.049997719556,300.4430958560049
2021-02-02,659.3027273894364,1247.537438440891,-630.7652985719653,1907.381465575209,123.16745086241052,480.64191491068107,370.56710517579586,5.684341886080802e-14,1035.6986859476842,830.5523284975186,-488.1466919255943,401.7453511233631,415.491163354568,1164.2370476648,244.76533056008003
2021-02-03,596.9557606448499,1306.250082500625,-756.3256213772136,2237.630018800557,202.80383146826682,532.2642706740693,139.7890554554464,-349.6980876210413,871.797901530817,402.9151966616534,-651.6368513249786,290.6167987507129,597.5820932048971,924.3840985900645,139.3503313948063
2021-02-04,374.5279006790074,1391.6328524354647,-681.2985164929178,2518.484693352335,348.77498880618896,601.8212928254409,-123.68815337022349,-270.9617172056081,697.9823345899504,300.82122263050826,-727.0122046343242,267.6818565558912,793.5909531130346,779.7362368477457,121.98507646135846
2021-02-05,-349.3026756462285,1512.6051563479543,-782.8762703424471,2054.03785106581,498.1163938547657,562.011740384021,-278.7205377998763,-119.07668890901488,809.541045990818,183.52167682655767,-839.4340438453632,-43.78403699665165,1132.1133823331,715.2606204213768,119.59787923601161
2021-02-06,264.8480881992857,2065.946790486004,-726.3419839074974,2319.9684328241465,675.5783445829472,601.8728215921583,-151.07845526486136,-8.495342774293249,816.4591343515492,250.53964616454334,-684.9470885521514,71.72093980353911,685.1110215585546,509.68704759839943,167.40486234006528
2021-02-07,874.4865324601427,1346.4283660228637,-737.1544779208446,1926.3066921897357,524.7906361353771,676.4071603885284,-12.424455098171052,332.6977934287587,849.8737558189354,303.10527928056007,-570.225893426342,253.45076720276404,958.8261238616909,447.9546201315948,185.8674466336904
2021-02-08,998.574040518999,1390.141522543387,-666.8161723960461,1746.6859982882906,337.9255348037749,589.8093711362687,-26.754534079270478,624.2632428372992,955.7515115343646,319.9268186457882,-344.8118050931317,505.4522747107028,899.85083607385,385.8376562330055,207.39868110582137
2021-02-09,1506.739252680909,1810.447157363143,-709.7208449832011,1118.8841819525032,374.4565846542458,487.59038551491324,-48.10707075409807,663.1046949771913,944.18635562286,205.56333641730288,-244.8441334516296,79.69910494662116,1083.136717730663,443.2239811671046,280.2961977836125
2021-02-10,363.9496538582007,715.8710035397289,-709.7208449832011,1174.9209389007997,444.0117165265989,736.7037788227931,83.64331513294186,1286.7255000916462,1170.9462217629925,329.12749790604585,111.25228902633984,332.97137242774875,1323.3731676705142,668.3698704772186,547.0072745874356
