date,AAVEUSDT_PERP,ADAUSDT_PERP,ALGOUSDT_PERP,ATOMUSDT_PERP,AVAXUSDT_PERP,AXSUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETCUSDT_PERP,ETHUSDT_PERP,FILUSDT_PERP,FTMUSDT_PERP,ICPUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MANAUSDT_PERP,MATICUSDT_PERP,NEOUSDT_PERP,SANDUSDT_PERP,SOLUSDT_PERP,THETAUSDT_PERP,TRXUSDT_PERP,UNIUSDT_PERP,VETUSDT_PERP,XLMUSDT_PERP,XRPUSDT_PERP
2021-03-12,0.0,617.7172060046829,0.0,523.7996782999526,0.0,0.0,373.78381012052574,304.7057125030398,1455.5832851130676,0.0,0.0,512.7790418363908,669.9338433692461,773.3637902961204,0.0,0.0,0.0,573.6963770889517,1166.016638076861,0.0,0.0,0.0,0.0,0.0,0.0,1223.4373653161101,0.0,1142.4048157435063,248.21842672678585,414.5600095047593
2021-03-13,0.0,558.1261297387372,0.0,531.5179447805115,0.0,0.0,440.23565876492466,304.7057125030398,1402.0764680445086,0.0,0.0,562.9616490401799,701.9667690967226,709.1516797118734,0.0,0.0,0.0,593.4815726516385,1295.0536055838934,0.0,0.0,0.0,0.0,0.0,0.0,1202.0842324882751,0.0,1121.4026830323596,212.9598791777135,366.61732541310806
2021-03-14,0.0,481.6612837020127,0.0,351.26359796676195,0.0,0.0,278.5471847098877,337.61000586482317,1459.3983149493158,0.0,0.0,366.382453149788,530.363324556558,709.1516797118734,0.0,0.0,0.0,662.4952481864909,1558.8770903664604,0.0,0.0,0.0,0.0,0.0,0.0,1516.8189480086714,0.0,1492.755538567104,11.226386186754723,243.06989236172282
2021-03-15,0.0,336.4116345272262,0.0,351.26359796676195,0.0,0.0,322.2904270039374,351.2873997437798,1224.5215727877992,0.0,0.0,427.06143903086564,493.20512774060336,824.3253958256971,0.0,0.0,0.0,673.4756778065658,1456.8656274015918,0.0,0.0,0.0,0.0,0.0,0.0,1664.3945528631643,0.0,1627.894560132141,-52.451046604436996,194.51378589518518
2021-03-16,0.0,328.0348506984004,0.0,429.7244809042606,0.0,0.0,419.5590947585371,364.6597402569718,1300.0521094857777,0.0,0.0,476.6356826409756,542.8716676459243,902.1756315607221,0.0,0.0,0.0,654.7917450864059,1437.2939400678806,0.0,0.0,0.0,0.0,0.0,0.0,1522.6630520742146,0.0,1309.0121940553342,59.83063318874302,252.69517757585245
2021-03-17,0.0,434.5500516139815,0.0,521.279211575789,0.0,0.0,506.7599925567784,330.2886079617971,1358.2862640118713,0.0,0.0,468.33494670328076,542.8716676459243,869.0645630179738,0.0,0.0,0.0,601.2776787551087,1312.1449389914178,0.0,0.0,0.0,0.0,0.0,0.0,1417.2970040581424,0.0,1176.9172959009052,133.82299404477993,329.3978620780063
2021-03-18,0.0,63.875829451632626,0.0,633.7491951374822,0.0,0.0,457.5650099063653,367.4877103991617,1619.1216571503696,0.0,0.0,443.56347606584507,496.0314421067209,885.6435148947246,0.0,0.0,0.0,511.5792153668486,1301.6101708442293,0.0,0.0,0.0,0.0,0.0,0.0,1571.0535168037688,0.0,1376.6046074408584,-53.168212619066196,218.94644181292847
2021-03-19,0.0,187.236955676507,0.0,653.4111450312705,0.0,0.0,457.5650099063653,349.14083391593635,1613.091876720505,0.0,0.0,476.45130749988647,465.5265622628881,978.7255924191318,0.0,0.0,0.0,482.3704335689543,1173.1745903408714,0.0,0.0,0.0,0.0,0.0,0.0,1479.877717039314,0.0,1305.2602630673816,-134.61263999431404,243.8517548884364
2021-03-20,0.0,125.15964760550396,0.0,507.59243378492295,0.0,0.0,349.47722286966064,331.0880704240297,1688.1644303205405,0.0,0.0,455.5751498501642,444.49166186126917,948.0068868073445,0.0,0.0,0.0,441.6028837445556,1031.8768437677086,0.0,0.0,0.0,0.0,0.0,0.0,1627.8833850207452,0.0,1436.5383206265599,-362.07342270419815,250.46964061279823
2021-03-21,0.0,145.58766278572529,0.0,613.0439572995693,0.0,0.0,335.4597186619344,336.93378175022934,1647.5328999608596,0.0,0.0,402.6820009636732,427.8276154251927,964.2025948113993,0.0,0.0,0.0,417.1662929507723,874.628591682816,0.0,0.0,0.0,0.0,0.0,0.0,1606.1923885788872,0.0,1436.5383206265599,-343.42467987961055,454.12046650456045
2021-03-22,0.0,24.936381199519346,0.0,626.1008744751556,0.0,0.0,254.4036154939927,364.9107984127161,1447.1855103727394,0.0,0.0,560.399579075598,530.0714672836812,918.6683682462126,0.0,0.0,0.0,324.4800489684491,778.9874374959309,0.0,0.0,0.0,0.0,0.0,0.0,1631.3787020018294,0.0,1506.1696622107506,-320.92936150920326,711.3781932542238
