date,equity
2020-01-01,5000.0
2020-01-02,5000.0
2020-01-03,5000.0
2020-01-04,5000.0
2020-01-05,5000.0
2020-01-06,5000.0
2020-01-07,5000.0
2020-01-08,5000.0
2020-01-09,5000.0
2020-01-10,5000.0
2020-01-11,5000.0
2020-01-12,5000.0
2020-01-13,5000.0
2020-01-14,5000.0
2020-01-15,5000.0
2020-01-16,5000.0
2020-01-17,5000.0
2020-01-18,5000.0
2020-01-19,5000.0
2020-01-20,5000.0
2020-01-21,5000.0
2020-01-22,5000.0
2020-01-23,5000.0
2020-01-24,5000.0
2020-01-25,5000.0
2020-01-26,5000.0
2020-01-27,5000.0
2020-01-28,5000.0
2020-01-29,5000.0
2020-01-30,5000.0
2020-01-31,5000.0
2020-02-01,5000.0
2020-02-02,5000.0
2020-02-03,5000.0
2020-02-04,5000.0
2020-02-05,5000.0
2020-02-06,5000.0
2020-02-07,5000.0
2020-02-08,5000.0
2020-02-09,5000.0
2020-02-10,5000.0
2020-02-11,5000.0
2020-02-12,5000.0
2020-02-13,5000.0
2020-02-14,5000.0
2020-02-15,5000.0
2020-02-16,5000.0
2020-02-17,5000.0
2020-02-18,5000.0
2020-02-19,5000.0
2020-02-20,5000.0
2020-02-21,5000.0
2020-02-22,5000.0
2020-02-23,5000.0
2020-02-24,5000.0
2020-02-25,5000.0
2020-02-26,5000.0
2020-02-27,5000.0
2020-02-28,5000.0
2020-02-29,5000.0
2020-03-01,5000.0
2020-03-02,5000.0
2020-03-03,5000.0
2020-03-04,5000.0
2020-03-05,5000.0
2020-03-06,5000.0
2020-03-07,5000.0
2020-03-08,5000.0
2020-03-09,5000.0
2020-03-10,5000.0
2020-03-11,5000.0
2020-03-12,5000.0
2020-03-13,5000.0
2020-03-14,5000.0
2020-03-15,5000.0
2020-03-16,5000.0
2020-03-17,5000.0
2020-03-18,5000.0
2020-03-19,5000.0
2020-03-20,5000.0
2020-03-21,5000.0
2020-03-22,5000.0
2020-03-23,5000.0
2020-03-24,5000.0
2020-03-25,5000.0
2020-03-26,5000.0
2020-03-27,5000.0
2020-03-28,5000.0
2020-03-29,5000.0
2020-03-30,5000.0
2020-03-31,5000.0
2020-04-01,5000.0
2020-04-02,5000.0
2020-04-03,5000.0
2020-04-04,5000.0
2020-04-05,5000.0
2020-04-06,5000.0
2020-04-07,5000.0
2020-04-08,5000.0
2020-04-09,5000.0
2020-04-10,5000.0
2020-04-11,5000.0
2020-04-12,5000.0
2020-04-13,5000.0
2020-04-14,5000.0
2020-04-15,5000.0
2020-04-16,5000.0
2020-04-17,5000.0
2020-04-18,5000.0
2020-04-19,5000.0
2020-04-20,5000.0
2020-04-21,5000.0
2020-04-22,5000.0
2020-04-23,5000.0
2020-04-24,5000.0
2020-04-25,5000.0
2020-04-26,5000.0
2020-04-27,5000.0
2020-04-28,5000.0
2020-04-29,5000.0
2020-04-30,5000.0
2020-05-01,5000.0
2020-05-02,5000.0
2020-05-03,5000.0
