date,total_pnl,price_pnl,funding_pnl,costs,equity
2020-02-10,0.0,0.0,0.0,0.0,5000.0
2020-02-11,0.0,0.0,0.0,0.0,5000.0
2020-02-12,0.0,0.0,0.0,0.0,5000.0
2020-02-13,0.0,0.0,0.0,0.0,5000.0
2020-02-14,0.0,0.0,0.0,0.0,5000.0
2020-02-15,0.0,0.0,0.0,0.0,5000.0
2020-02-16,0.0,0.0,0.0,0.0,5000.0
2020-02-17,0.0,0.0,0.0,0.0,5000.0
2020-02-18,0.0,0.0,0.0,0.0,5000.0
2020-02-19,0.0,0.0,0.0,0.0,5000.0
2020-02-20,-1.874194590077056,0.0,0.0,1.874194590077056,4998.125805409923
2020-02-21,-11.236998579251424,-10.022370193812776,-1.1586420999909595,0.05598628544768622,4986.8888068306715
2020-02-22,8.971890231144881,12.052742875203897,-3.0231432799754705,0.0577093640835472,4995.860697061817
2020-02-23,-108.88431556793142,-103.76391662759907,-4.873984115990374,0.24641482434197168,4886.976381493885
2020-02-24,97.27511848416741,99.80738815829305,-2.4765933644221803,0.05567630970346233,4984.251499978052
2020-02-25,184.24596408014003,187.0698915389931,-2.435403704781725,0.3885237540713855,5168.497464058192
2020-02-26,247.07963087746023,249.61469592861485,-2.2994548233693126,0.23561022778531523,5415.577094935653
2020-02-27,-70.71065367191537,-69.45277549824378,-0.8480182662906204,0.40985990738096867,5344.866441263737
2020-02-28,42.71450343821684,44.75612696121896,-1.4583499471743608,0.5832735758277598,5387.580944701955
2020-02-29,72.79980162994295,79.48967004709502,-6.122888047138621,0.5669803700134496,5460.380746331897
2020-03-01,31.328418617986696,37.569713113148005,-5.656175048947596,0.5851194462137189,5491.709164949883
2020-03-02,-393.3235930386021,-390.62295268440187,-2.3605428528557857,0.3400975013444484,5098.385571911282
2020-03-03,131.46102012774477,133.42504991978703,-1.7830880891476784,0.18094170289458708,5229.846592039026
2020-03-04,-31.447931765516635,-29.306565107299726,-1.9208357626675856,0.2205308955493244,5198.398660273509
2020-03-05,-241.5164141558439,-236.7815083215774,-4.369317690839299,0.36558814342720863,4956.882246117666
2020-03-06,-200.73773323790456,-194.47396714202765,-5.919801253793932,0.34396484208299594,4756.144512879761
2020-03-07,223.4987259170801,230.84180713103265,-7.157896688710048,0.1851845252425394,4979.643238796842
