date,total_pnl,price_pnl,funding_pnl,costs,equity
2023-01-01,0.0,0.0,0.0,0.0,5000.0
2023-01-02,0.0,0.0,0.0,0.0,5000.0
2023-01-03,0.0,0.0,0.0,0.0,5000.0
2023-01-04,0.0,0.0,0.0,0.0,5000.0
2023-01-05,0.0,0.0,0.0,0.0,5000.0
2023-01-06,0.0,0.0,0.0,0.0,5000.0
2023-01-07,0.0,0.0,0.0,0.0,5000.0
2023-01-08,0.0,0.0,0.0,0.0,5000.0
2023-01-09,0.0,0.0,0.0,0.0,5000.0
2023-01-10,0.0,0.0,0.0,0.0,5000.0
2023-01-11,-6.610426935044978,0.0,0.0,6.610426935044978,4993.389573064955
2023-01-12,292.5981707217124,297.2716781229916,1.9517973630390253,6.6253047643182015,5285.987743786667
2023-01-13,641.2053927129223,645.7112502858004,2.155083676991229,6.660941249869253,5927.19313649959
2023-01-14,1869.631685196795,1851.3041677480046,24.929673375307477,6.60215592651749,7796.824821696385
2023-01-15,-184.10865804076315,-193.03946870559804,15.10189860690878,6.171087942073896,7612.716163655621
2023-01-16,303.62481291192734,299.77101496798855,10.626372469692328,6.772574525753503,7916.340976567549
2023-01-17,-191.7105261267239,-196.57207220189574,11.642872078336662,6.7813260031647875,7724.630450440825
2023-01-18,-2211.7679485706003,-2220.16635972593,13.93203307816535,5.533621922836117,5512.862501870224
2023-01-19,2010.6694384052398,2006.8825576238505,10.526514485949798,6.739633704560358,7523.531940275465
2023-01-20,5153.94997262497,5144.320938891314,16.41726789975314,6.788234166096725,12677.481912900434
2023-01-21,-1622.8945634172173,-1642.8635309727222,26.71486114531725,6.7458935898122325,11054.587349483216
2023-01-22,50.7051341297703,27.84940383793065,29.585401128911492,6.729670837071794,11105.292483612986
2023-01-23,1859.0679697753553,1834.2523336480263,31.53393796350423,6.71830183617487,12964.36045338834
2023-01-24,-4106.912498053818,-4142.434973453505,42.21647502720061,6.693999627512604,8857.447955334523
2023-01-25,3936.410508114597,3911.1267120379425,31.98792588388885,6.704129807233464,12793.85846344912
2023-01-26,-1284.5904199869092,-1313.2674208395988,35.38057648385008,6.7035756311606285,11509.26804346221
2023-01-27,623.375023971819,592.0270498620221,38.06156572622636,6.713591616429491,12132.64306743403
2023-01-28,-1833.0915234376887,-1867.5163647562058,41.138246062690165,6.713404744172861,10299.551543996342
2023-01-29,6287.116559831888,6250.271601583005,43.56662622042508,6.721667971542108,16586.66810382823
2023-01-30,-8292.528014051031,-8336.53164404526,50.719881361436414,6.716251367208499,8294.140089777198
2023-01-31,3308.1999056270024,3266.502542730665,48.41388608777659,6.7165231914394425,11602.3399954042
2023-02-01,5561.440455980048,5516.798249198537,51.367235861102145,6.7250290795908105,17163.78045138425
