date,equity
2020-02-10,5000.0
2020-02-11,5000.0
2020-02-12,5000.0
2020-02-13,5000.0
2020-02-14,5000.0
2020-02-15,5000.0
2020-02-16,5000.0
2020-02-17,5000.0
2020-02-18,5000.0
2020-02-19,5000.0
2020-02-20,4998.069505786732
2020-02-21,5066.600281045094
2020-02-22,5046.90406740122
2020-02-23,5176.0407020546945
2020-02-24,5071.162655310789
2020-02-25,4894.713725853871
2020-02-26,4667.083257327292
2020-02-27,4672.888343844256
2020-02-28,4700.184929711687
2020-02-29,4710.272673177809
2020-03-01,4720.013174793734
2020-03-02,4462.490764321788
2020-03-03,4530.048743969577
2020-03-04,4518.367234592517
2020-03-05,4373.554734998586
2020-03-06,4294.977388373231
2020-03-07,4393.476119913511
2020-03-08,4795.647689203969
2020-03-09,4809.930791232449
2020-03-10,4800.187649714695
2020-03-11,4825.973613689834
2020-03-12,7384.886151841069
2020-03-13,7005.333981971538
2020-03-14,7168.9101129204855
2020-03-15,7110.511481539012
2020-03-16,7282.588044658058
2020-03-17,7167.83335949116
2020-03-18,7138.579272768055
2020-03-19,6776.318088585907
2020-03-20,6835.892478386095
2020-03-21,6827.481527212792
2020-03-22,7033.542624860189
2020-03-23,6737.31810470123
2020-03-24,6652.973082913362
2020-03-25,6683.882498485362
2020-03-26,6549.383413955908
2020-03-27,6686.694838078324
2020-03-28,6700.052031833425
2020-03-29,6875.683664735468
2020-03-30,6689.648106696451
2020-03-31,6662.497578700457
2020-04-01,6606.450221423727
2020-04-02,6527.595024829631
2020-04-03,6517.5983513998435
2020-04-04,6469.57510838337
2020-04-05,6495.88999246144
2020-04-06,6150.928773819466
2020-04-07,6211.503392237332
2020-04-08,6131.260933750848
2020-04-09,6158.918939786039
2020-04-10,6320.430799396309
2020-04-11,6310.10811696921
2020-04-12,6275.197084391691
2020-04-13,6251.524146948546
2020-04-14,6229.810445662117
2020-04-15,6026.573198404081
2020-04-16,6014.2160476774425
2020-04-17,5986.720129324988
2020-04-18,6123.100182884387
2020-04-19,6032.049328034249
2020-04-20,5848.977535611069
2020-04-21,5864.2806480018735
2020-04-22,5968.248351054837
2020-04-23,6029.811931761707
2020-04-24,6032.891430154299
2020-04-25,6112.859266589078
2020-04-26,6176.263338577992
2020-04-27,6187.407560358882
2020-04-28,6216.715531614499
2020-04-29,6915.036114986978
2020-04-30,6583.45193543078
2020-05-01,6841.760739885034
2020-05-02,6976.027109994519
2020-05-03,6806.0765988310495
2020-05-04,6734.8078416174285
2020-05-05,6742.749281199473
2020-05-06,6605.838087828543
2020-05-07,7237.622597012063
2020-05-08,7190.011249155412
2020-05-09,7038.697017917913
2020-05-10,6100.015971274345
2020-05-11,5973.499165492594
2020-05-12,6164.8582386463495
2020-05-13,6487.69536004726
2020-05-14,6728.276142745295
2020-05-15,6395.850969378351
2020-05-16,6497.111186176707
2020-05-17,6699.328750333869
2020-05-18,6836.04118288187
2020-05-19,6866.676883897691
2020-05-20,6656.079646645191
2020-05-21,6214.94747694772
2020-05-22,6406.8224027311935
2020-05-23,6394.354033656994
2020-05-24,6065.672733317326
2020-05-25,6204.563007187459
2020-05-26,6140.41655065013
2020-05-27,6366.091097511256
2020-05-28,6673.829005806934
2020-05-29,6616.153222071042
2020-05-30,7117.055475109556
2020-05-31,6755.941237586852
2020-06-01,7473.183004388045
2020-06-02,6946.268755297391
2020-06-03,7115.429122134261
2020-06-04,7133.258115131907
2020-06-05,7037.672678574643
2020-06-06,7076.772843884335
2020-06-07,7129.34355260693
2020-06-08,7183.542333333111
2020-06-09,7124.342658702963
2020-06-10,7241.572833582995
2020-06-11,6575.5630130744385
2020-06-12,6772.690514562842
2020-06-13,6800.334392677849
2020-06-14,6652.464775291134
2020-06-15,6638.290657128
2020-06-16,6748.64900169218
2020-06-17,6698.047835820458
2020-06-18,6660.029918683817
2020-06-19,6631.7650255883345
2020-06-20,6630.138318232517
2020-06-21,6631.851474479387
2020-06-22,6824.127531512211
2020-06-23,6824.676212964199
2020-06-24,6747.085527053643
2020-06-25,6755.14518070661
2020-06-26,6710.971010605873
2020-06-27,6850.854866261667
2020-06-28,6798.287518539653
2020-06-29,6793.663683355112
2020-06-30,6841.736495890515
2020-07-01,6745.413553300703
2020-07-02,6856.285061223209
2020-07-03,6829.8284984598295
2020-07-04,6725.802163896612
2020-07-05,6768.42892673114
2020-07-06,6308.1736394934605
2020-07-07,6261.495758354073
2020-07-08,5774.954473030965
2020-07-09,5773.90181901993
2020-07-10,5737.467972661981
2020-07-11,5692.3512883531885
2020-07-12,5797.268900610683
2020-07-13,5754.434422616467
2020-07-14,5716.469649190955
2020-07-15,5589.292522637833
2020-07-16,5397.171062479374
2020-07-17,5365.288799625334
2020-07-18,5454.288223351232
2020-07-19,5674.42869104644
2020-07-20,5473.843176399567
2020-07-21,5663.111225609066
2020-07-22,6053.482640217293
2020-07-23,6397.633263356289
2020-07-24,6487.490812076595
2020-07-25,6983.490808722565
2020-07-26,7066.614529543249
2020-07-27,7616.823116738251
2020-07-28,7711.38619131196
2020-07-29,7822.3242656899165
2020-07-30,7988.784509872525
2020-07-31,8374.153740209917
2020-08-01,9129.74574182704
2020-08-02,8764.936133974707
2020-08-03,9202.092550410332
2020-08-04,9229.169839976938
2020-08-05,9581.672543047658
2020-08-06,9492.995463995023
2020-08-07,9265.350083272588
2020-08-08,9485.447418961954
2020-08-09,9323.051674908706
2020-08-10,9487.828889998447
2020-08-11,9015.939843556787
2020-08-12,9148.029566484543
2020-08-13,9558.054869315827
2020-08-14,9862.189151765673
2020-08-15,9866.527403685483
2020-08-16,9992.288016859013
2020-08-17,10164.593084389378
2020-08-18,9928.593709142398
2020-08-19,9655.877997177695
2020-08-20,9846.786206740693
2020-08-21,9411.921194058086
2020-08-22,9555.72850127473
2020-08-23,9488.380425881827
2020-08-24,9715.593271293468
2020-08-25,9259.464339248878
2020-08-26,9389.79777001213
2020-08-27,9299.23580060264
2020-08-28,9493.121583272643
2020-08-29,9504.117128848815
2020-08-30,9896.904212910835
2020-08-31,9860.867615087158
2020-09-01,10414.912646133034
2020-09-02,9941.654693526867
2020-09-03,8646.366665419715
2020-09-04,8730.097860806945
2020-09-05,8364.890050023103
2020-09-06,8511.039613674824
2020-09-07,8483.2543891235
2020-09-08,8465.564863188414
2020-09-09,8598.957518379799
2020-09-10,8646.25705689449
2020-09-11,8739.753820945292
2020-09-12,9107.080627773765
2020-09-13,9318.825806154444
2020-09-14,9273.240824837721
2020-09-15,8815.667477954821
2020-09-16,8885.912931846286
2020-09-17,8885.978192656257
2020-09-18,8925.568199460713
2020-09-19,8917.071935635755
2020-09-20,8720.547005615665
2020-09-21,8086.038716015424
2020-09-22,8193.894386567239
2020-09-23,8005.213149323321
2020-09-24,8177.1552049843995
2020-09-25,8157.509238393926
2020-09-26,8220.151077984068
2020-09-27,8227.943682226187
2020-09-28,8255.2113772355
2020-09-29,8393.170465787856
2020-09-30,8408.967832344362
2020-10-01,8191.124132593061
2020-10-02,8158.101806948177
2020-10-03,8236.451179379881
2020-10-04,8266.755810350785
2020-10-05,8219.687272081173
2020-10-06,8051.807027710075
2020-10-07,8056.632130608128
2020-10-08,8113.300045528805
2020-10-09,8243.51468110059
2020-10-10,8314.953177175335
2020-10-11,8372.126076376135
2020-10-12,8697.093379168455
2020-10-13,8626.898889933072
2020-10-14,8591.065780171419
2020-10-15,8649.827308976895
2020-10-16,8404.009638159125
2020-10-17,8449.296135690947
2020-10-18,8592.80937101425
2020-10-19,8668.576592901089
2020-10-20,8626.55933265806
2020-10-21,9270.346967214076
2020-10-22,9515.183786015506
2020-10-23,9480.148267553806
2020-10-24,9583.249177818649
2020-10-25,9484.08161012246
2020-10-26,9473.29935174243
2020-10-27,9812.036068089008
2020-10-28,9504.786227107983
2020-10-29,9533.524017610453
2020-10-30,9463.599469347137
2020-10-31,9593.134063421556
2020-11-01,9636.731896299654
2020-11-02,9444.2444671257
2020-11-03,9674.74855459997
2020-11-04,9816.903042479784
2020-11-05,10493.541263170906
2020-11-06,10588.791514881248
2020-11-07,10270.274788690826
2020-11-08,10498.201988455861
2020-11-09,10427.436324721923
2020-11-10,10443.938700063994
2020-11-11,10661.97456280152
2020-11-12,10843.120545787991
2020-11-13,10975.099441689952
2020-11-14,10835.89231680753
2020-11-15,10749.598708412632
2020-11-16,11148.599515524198
2020-11-17,11594.474887860451
2020-11-18,11541.200612828547
2020-11-19,11587.539217240705
2020-11-20,12185.446726294105
2020-11-21,13305.566346693693
2020-11-22,13299.658438929167
2020-11-23,13821.129420549085
2020-11-24,14048.662954042982
2020-11-25,13667.023858924116
2020-11-26,12898.96020890358
2020-11-27,12920.92910860476
2020-11-28,13178.245671091267
2020-11-29,13426.429896721851
2020-11-30,14185.189295091926
2020-12-01,13665.127340095192
2020-12-02,13858.607819127048
2020-12-03,14039.416063556735
2020-12-04,13399.841470382913
2020-12-05,13750.418067788265
2020-12-06,13931.634980688768
2020-12-07,13789.901363970417
2020-12-08,13220.23596532518
