date,BNBUSDT_PERP,BTCUSDT_PERP,ETHUSDT_PERP,XRPUSDT_PERP
2022-09-01,-402.2875384412729,-2816.7764623536577,2.3305801732931286e-12,-1930.8903435738468
2022-09-02,-559.8939718104807,-3050.261919214244,-147.96459666092989,-2044.6986246241931
2022-09-03,-643.1633937019662,-3170.8383246706694,-65.63835284946471,-2185.992303579614
2022-09-04,-755.4986793990216,-3200.913916829533,-60.36174181360266,-2331.784165359828
2022-09-05,-846.6944467888285,-3340.071049580959,40.152346943465645,-2470.2034187101135
2022-09-06,-1288.6378817689192,-3555.2197539118647,101.28723035392844,-2693.547650818999
2022-09-07,-1044.5217177347452,-3984.424789136356,556.6961362456553,-2626.8545694633835
2022-09-08,-1095.3738307948504,-4061.044448388592,512.7716753708713,-2552.030657683551
2022-09-09,-912.3271936340833,-3684.4176089318207,969.8087111124509,-2505.730995866455
2022-09-10,-649.8132240445657,-4305.983999525112,2003.34740203113,-2649.020794662974
2022-09-11,-408.3874443195891,-5107.662902168203,3641.0910689062675,-2940.9977515584405
2022-09-12,-166.39500656762877,-5743.363856873593,6348.24503016329,-3311.535346460336
2022-09-13,-1023.4995272935112,-4775.29011056371,6851.841448763397,-3788.601566093001
2022-09-14,-1262.0095646211635,-5051.893783962427,9689.058459850712,-2657.9469750607423
2022-09-15,-1606.046082167011,-4738.950996319978,5753.959674268311,-2539.050687766026
2022-09-16,-1745.33133125825,-4662.19292149548,4166.985209225412,-859.2012578364097
2022-09-17,-1863.1088728401962,-4867.019424760785,3913.5227310833025,134.04713034752422
2022-09-18,-1674.265149632091,-3715.579120036162,1822.8823178466318,77.81018702189935
2022-09-19,-1450.6100798641194,-3395.6186324292785,799.4890943085054,659.4040419718483
2022-09-20,-1744.4534033050109,-3484.653568401541,-184.5508534384303,1550.2779591684239
2022-09-21,-2145.1979832112925,-3826.516838796712,-1035.5285766663037,1732.3353555870958
2022-09-22,-1944.2773117794306,-3465.985844552994,-1222.2345033232339,1845.0442397593529
2022-09-23,-2145.438202198868,-4191.92111696809,-2105.5605466666484,3494.6370253426003
