date,ADAUSDT_PERP,AVAXUSDT_PERP,BCHUSDT_PERP,BNBUSDT_PERP,BTCUSDT_PERP,DOGEUSDT_PERP,DOTUSDT_PERP,EOSUSDT_PERP,ETHUSDT_PERP,LINKUSDT_PERP,LTCUSDT_PERP,MATICUSDT_PERP,SOLUSDT_PERP,UNIUSDT_PERP,XRPUSDT_PERP
2021-06-07,2031.3299602965433,0.0,-523.1411554121971,102.81047029607105,-1721.1813721149674,0.0,0.0,367.8137533004377,1102.134130980412,72.47023222426927,-345.09026110991493,0.0,0.0,0.0,398.8963512479331
2021-06-08,1970.2517292186685,0.0,-639.2312815014006,1.4210854715202004e-14,-1918.842287742312,0.0,0.0,263.1925349456037,993.2705863607828,-38.15641454309959,-463.3843588954426,0.0,0.0,0.0,273.134291352085
2021-06-09,2108.0677301365295,0.0,-706.311127382462,1.4210854715202004e-14,-1191.0038940814438,0.0,0.0,238.4792696251771,1022.9009797284297,-92.90220691798424,-387.820293574492,0.0,0.0,0.0,322.6123498815321
2021-06-10,1844.7316284911012,0.0,-773.2075734658254,-79.5829815875325,-1023.2429305907904,0.0,0.0,141.94799158543628,885.9239940555502,-185.77910382226588,-434.431086104393,0.0,0.0,0.0,176.75721469760512
2021-06-11,1519.1461823490213,0.0,-883.3424440055132,-169.9409104440102,-979.1811124854228,0.0,0.0,45.28617639873124,723.8452138073093,-299.690042485249,-534.5449615416902,0.0,0.0,0.0,-7.105427357601002e-13
2021-06-12,1473.0838888983,0.0,-970.7870033569006,-251.59193181787234,-891.225509654822,0.0,0.0,-45.79625836967965,631.9340133983061,-410.61422802337484,-642.2590471303837,0.0,0.0,0.0,-176.41672663663726
2021-06-13,1565.7294184462328,0.0,-1009.6107111892691,-251.59193181787234,-429.5931561049229,0.0,0.0,-91.59772697691744,664.4907791029572,-478.10129123400554,-686.7836158137414,0.0,0.0,0.0,-223.85749861481614
2021-06-14,1608.7089296154882,0.0,-1038.7840395594296,-245.30468628450026,-157.71225121100912,0.0,0.0,-105.23167304330468,748.8412941904974,-491.0616036602857,-656.6695721481719,0.0,0.0,0.0,-264.9744001253812
2021-06-15,1550.2283949152713,0.0,-1059.4083560758247,-249.759555214731,-62.135445935462826,0.0,0.0,-133.75321390303986,748.8412941904974,-497.9790553577674,-646.1581502152559,0.0,0.0,0.0,-347.7368612926423
2021-06-16,1355.528319675419,0.0,-1105.4891298910404,-306.78704317384677,-116.6314994007196,0.0,0.0,-199.7635674176904,580.941663094804,-527.7528049753947,-690.4989505009662,0.0,0.0,0.0,-486.70300011495374
2021-06-17,1270.2669291603036,0.0,-1126.8475251206294,-341.62477177569394,-226.1839702208179,0.0,0.0,-267.1077739854517,492.7879949062947,-580.4129409564781,-748.9557969043776,0.0,0.0,0.0,-608.0232929815945
2021-06-18,855.4810239517058,0.0,-957.201849640419,-341.62477177569394,-269.4309235554892,0.0,0.0,-281.545078984887,269.9623737323418,-494.6091596677622,-641.8424307344034,0.0,0.0,0.0,-577.5529069796287
2021-06-19,609.6540186735706,0.0,-849.9226877104636,-311.18956807203915,-257.7443542038662,0.0,0.0,-308.78201515535096,184.16925267512016,-494.6091596677622,-651.7972376196966,0.0,0.0,0.0,-590.9245860252126
2021-06-20,628.6594101736735,0.0,-933.6378040717368,-285.47854715250145,-320.75230022838724,0.0,0.0,-362.62397078599594,220.65607237429052,-544.5849107529596,-704.421302624715,0.0,0.0,0.0,-661.3938774297732
2021-06-21,280.12877886061244,0.0,-699.6822422949817,-232.4886674517822,-267.2269111026046,0.0,0.0,-300.0301343176965,71.45165855067185,-401.1564003057696,-506.2844335446024,0.0,0.0,0.0,-533.8212457107506
2021-06-22,139.3420008923167,0.0,-733.1586017336632,-192.51676881710858,-302.15712027063046,0.0,0.0,-327.8086994984297,-53.319408586073806,-409.30890951115185,-536.7974082080923,0.0,0.0,0.0,-587.9435896817604
2021-06-23,111.87972847688224,0.0,-824.879596338856,-195.8064879028524,-254.15540452918637,0.0,0.0,-362.1200667359283,-83.6808786863958,-461.4497336116101,-553.0725565656976,0.0,0.0,0.0,-678.4800412952336
2021-06-24,173.04215468112903,0.0,-917.9059622556048,-217.79832642194322,-240.2430739424409,0.0,0.0,-415.7371042708392,-155.38484404247214,-516.3321386131245,-607.7627775924877,0.0,0.0,0.0,-786.4336177973344
2021-06-25,63.042789102735014,0.0,-889.688164272562,-272.3591430561032,-340.6209332494858,0.0,0.0,-415.7371042708392,-234.9293141397947,-474.08890333208075,-591.6333952677073,0.0,0.0,0.0,-786.4336177973344
2021-06-26,-1.1866063687193673e-12,0.0,-927.8530324994946,-341.7535566175415,-324.9950734735665,0.0,0.0,-461.39265147677986,-260.8250309356845,-507.73626369288024,-620.1979237648561,0.0,0.0,0.0,-862.2300106216765
2021-06-27,67.81951116496879,0.0,-979.6328088965811,-357.9739562551395,7.958078640513122e-13,0.0,0.0,-528.9315117562138,-194.70668155468428,-557.3169636442772,-620.1979237648561,0.0,0.0,0.0,-958.1654793814572
2021-06-28,74.78487240009738,0.0,-1039.3239938288368,-393.86955229327003,-97.67746783049554,0.0,0.0,-565.1464982552205,-186.53256611355135,-584.4960926312372,-691.2861567495735,0.0,0.0,0.0,-1002.1739867344492
2021-06-29,82.6497708901886,0.0,-1078.1173651077097,-445.8507597510515,-142.8968528949552,0.0,0.0,-591.1022927222034,-151.94461295264176,-602.3463679695468,-741.9560443322465,0.0,0.0,0.0,-1026.0798045474028
2021-06-30,76.5613910517694,0.0,-1078.1173651077097,-468.44716804389526,-248.25348897270072,0.0,0.0,-591.1022927222034,-124.14480536809974,-602.3463679695468,-771.2534290919419,0.0,0.0,0.0,-1026.0798045474028
2021-07-01,75.19081779665878,0.0,-1060.622855713903,-448.7544735276162,-376.09645090975357,0.0,0.0,-579.8575458040251,-132.61635458902788,-588.4506369176007,-752.6537171844773,0.0,0.0,0.0,-1001.0617601386556
2021-07-02,159.36564418596717,0.0,-1141.8980947824732,-375.8394903052609,-439.9097231228546,0.0,0.0,-620.7984057001929,-75.61490572793653,-638.0521380588013,-818.612485432808,0.0,0.0,0.0,-1087.9588499704507
2021-07-03,195.0897447571603,0.0,-1200.7093746193825,-381.55180768481597,-373.1928615169666,0.0,0.0,-649.7223907384249,-34.46609167154741,-673.4018141483963,-845.7206652663504,0.0,0.0,0.0,-1134.4506737612535
2021-07-04,275.3820318522136,0.0,-1251.056777925657,-445.6146432845662,-317.6016603074914,0.0,0.0,-673.2551402304783,3.694822225952521e-13,-709.7279423965977,-900.2675049973916,0.0,0.0,0.0,-1189.6327478351516
2021-07-05,343.9001568437445,0.0,-1251.056777925657,-477.7824565939826,-380.78454385755333,0.0,0.0,-683.3710408763702,3.694822225952521e-13,-709.7279423965977,-928.1740669809692,0.0,0.0,0.0,-1172.207316624554
2021-07-06,443.36279936861445,0.0,-1359.1466935198123,-477.7824565939826,-348.6811012052963,0.0,0.0,-762.9847288005338,88.52176935643217,-739.3871776354528,-1026.408654172475,0.0,0.0,0.0,-1294.9272402413212
2021-07-07,437.79919223906944,0.0,-1388.4443934147012,-383.33163439463954,-435.6481918497386,0.0,0.0,-794.8686472390104,118.43458695093375,-724.9792816635306,-1082.1520872957278,0.0,0.0,0.0,-1353.4869906055403
2021-07-08,271.27790624994805,0.0,-1311.601766523431,-368.5162362142897,-372.64205123955406,0.0,0.0,-760.4301533959654,47.50849058583603,-654.1572993179809,-1043.1775672997567,0.0,0.0,0.0,-1274.2244592413222
2021-07-09,237.22296239399142,0.0,-1326.825436191661,-322.7098678745898,-235.84240777907678,0.0,0.0,-727.7025402469856,3.694822225952521e-13,-669.4179882119926,-1083.0397398251766,0.0,0.0,0.0,-1328.4756691648006
2021-07-10,134.17693270790016,0.0,-1312.4058334065314,-181.59529973424907,-357.9902894670889,0.0,0.0,-661.1140378300196,-75.36428646842074,-669.4179882119926,-1056.8442700839787,0.0,0.0,0.0,-1345.679283366375
2021-07-11,99.37141203154175,0.0,-1339.6361007230762,-114.9642839455692,-431.68424829821635,0.0,0.0,-661.1140378300196,-121.81082964322317,-700.3617504678965,-1097.3131945353791,0.0,0.0,0.0,-1413.9856388298178
2021-07-12,41.52265348478791,0.0,-1339.6361007230762,-121.53704493422264,-562.8523688749717,0.0,0.0,-633.6551775046254,-199.0341645844255,-700.3617504678965,-1140.8955398022329,0.0,0.0,0.0,-1438.4281823393358
2021-07-13,-77.8890846477713,0.0,-1398.785714562554,-72.83283923184722,-714.4624182173521,0.0,0.0,-603.6647264115904,-281.88919787928967,-742.0973005265854,-1166.2931197502176,0.0,0.0,0.0,-1469.0073692952703
2021-07-14,-137.39999969463662,0.0,-1481.50746319253,-150.9002390710109,-775.7981396314425,0.0,0.0,-639.3046344548201,-342.23288662494457,-806.1428191181967,-1199.1195375314953,0.0,0.0,0.0,-1527.445813676374
2021-07-15,-300.7951425708078,0.0,-1564.6216461647232,-124.16466641207205,-886.0372423015295,0.0,0.0,-685.0699579061255,-428.9996598094051,-644.574734371639,-1268.4946615277156,0.0,0.0,0.0,-1568.9595595123694
2021-07-16,-455.90978984364835,0.0,-1659.171832308904,72.6037184484002,-1013.9424489257478,0.0,0.0,-758.9780126193303,-543.5995444424992,-771.1576812101865,-1376.4567712723583,0.0,0.0,0.0,-1655.897469882641
2021-07-17,-618.5619387711187,0.0,-1777.9635015933382,143.69536516714282,-1184.7804355429719,0.0,0.0,-828.570910125952,-641.6951367057418,-901.933103981926,-1542.6444827299815,0.0,0.0,0.0,-1764.616099019039
2021-07-18,-729.7203893969719,0.0,-1829.0976184772655,232.0124775254958,-1298.939074495428,0.0,0.0,-858.0556051876183,-714.2463350168985,-979.9387653882927,-1607.2717602615596,0.0,0.0,0.0,-1764.616099019039
2021-07-19,-800.5833925403062,0.0,-1812.4685306038034,101.70048870963382,-1325.4379267999043,0.0,0.0,-877.3919083184339,-727.6304767016503,-1006.7700353159631,-1607.2717602615596,0.0,0.0,0.0,-1734.8753020230645
2021-07-20,-840.7955348770706,0.0,-1844.4624695126868,-39.1787725653528,-1273.9728158466717,0.0,0.0,-940.5683304486538,-689.9905911270758,-1055.0588763548592,-1592.0220677677191,0.0,0.0,0.0,-1734.8753020230645
2021-07-21,-589.3654959767189,0.0,-1920.747881484374,6.394884621840902e-14,-676.0610969428174,0.0,0.0,-1007.2940787546358,-414.6845056668179,-1091.597954243653,-1565.124494296522,0.0,0.0,0.0,-1734.8753020230645
2021-07-22,-711.5307036286001,0.0,-1982.285316921751,-210.0310526212018,-700.5343458269746,0.0,0.0,-1056.006900288457,-446.61324271942664,-1136.4428864158888,-1649.2099218723235,0.0,0.0,0.0,-1834.714117375172
2021-07-23,-783.9570094494007,0.0,-2010.3267252045623,-229.17127785239816,-531.5095887585995,0.0,0.0,-1084.0515628881349,-386.850487451999,-1152.0125352079053,-1707.5161567147277,0.0,0.0,0.0,-1884.6974088839686
2021-07-24,-809.8512434318551,0.0,-2010.3267252045623,-371.9726037030599,-318.75908169907177,0.0,0.0,-1096.3988883768454,-271.72531679565225,-1152.0125352079053,-1748.704644780721,0.0,0.0,0.0,-1903.4479207861611
2021-07-25,-848.2428675907036,0.0,-2036.0508158138332,-476.67258597328726,90.03161376198125,0.0,0.0,-1120.738399472752,-161.64804502931298,-1167.0460105334032,-1748.704644780721,0.0,0.0,0.0,-1947.4352407405204
