date,idm,n_active_instruments
2024-01-01,1.0,2
2024-01-02,1.0,2
2024-01-03,1.0,2
2024-01-04,1.0,2
2024-01-05,1.0,2
2024-01-06,1.0,2
2024-01-07,1.0,2
2024-01-08,1.0,2
2024-01-09,1.0,2
2024-01-10,1.0,2
2024-01-11,1.3977927336186478,2
2024-01-12,1.4092192693643157,2
2024-01-13,1.3943803047315697,2
2024-01-14,1.3900431259911914,2
2024-01-15,1.3717852463589053,2
2024-01-16,1.3535469950437455,2
2024-01-17,1.3453977364881098,2
2024-01-18,1.304984775867986,2
2024-01-19,1.261928785288685,2
2024-01-20,1.05686395407921,2
2024-01-21,1.0454432845678832,2
2024-01-22,1.0,2
2024-01-23,1.5367477333976984,2
2024-01-24,2.4975653388468855,2
2024-01-25,1.7926473758512846,2
2024-01-26,1.6132730459940996,2
2024-01-27,1.0,2
2024-01-28,1.0854935807451538,2
2024-01-29,1.0,2
2024-01-30,1.0445387101313253,2
2024-01-31,1.0,2
2024-02-01,1.0179813760415586,2
2024-02-02,1.0300664353854108,2
2024-02-03,1.0310524518413628,2
2024-02-04,1.0327898748053619,2
2024-02-05,1.0,2
2024-02-06,1.0440828003642095,2
2024-02-07,1.0691141873255312,2
2024-02-08,1.0671733929268932,2
2024-02-09,1.0649715122288532,2
2024-02-10,1.0663067546531653,2
2024-02-11,1.070281156031444,2
2024-02-12,1.0659312803414707,2
2024-02-13,1.0683567324968843,2
2024-02-14,1.0599974565448207,2
2024-02-15,1.062906302077217,2
2024-02-16,1.0641627372862645,2
2024-02-17,1.0641832960776019,2
2024-02-18,1.0659610468793297,2
2024-02-19,1.0728537811709715,2
2024-02-20,1.0726248824054478,2
2024-02-21,1.0718992995362688,2
2024-02-22,1.07359705551697,2
2024-02-23,1.0724485952166416,2
2024-02-24,1.070226706030736,2
2024-02-25,1.0778477797630663,2
2024-02-26,1.0817438083397477,2
2024-02-27,1.084962776530163,2
2024-02-28,1.0780705163111688,2
2024-02-29,1.0776590316120775,2
2024-03-01,1.075964597115717,2
2024-03-02,1.075902934091867,2
2024-03-03,1.074425097210818,2
2024-03-04,1.067385265054852,2
2024-03-05,1.065428262446362,2
2024-03-06,1.070702941437593,2
2024-03-07,1.0706573768276186,2
2024-03-08,1.0718560706361486,2
2024-03-09,1.072002111795329,2
2024-03-10,1.0737720081371598,2
2024-03-11,1.0673654090189875,2
2024-03-12,1.067950540593914,2
2024-03-13,1.0685699495212273,2
2024-03-14,1.0670434079129476,2
2024-03-15,1.0645246403588027,2
2024-03-16,1.0518761267811085,2
2024-03-17,1.050303910169659,2
2024-03-18,1.0505077457136356,2
2024-03-19,1.03585957129128,2
2024-03-20,1.0285826562938822,2
2024-03-21,1.0317509421885414,2
2024-03-22,1.0297437160901395,2
2024-03-23,1.0302525932826965,2
2024-03-24,1.029497495241141,2
2024-03-25,1.0292788951134617,2
2024-03-26,1.0280212348730886,2
2024-03-27,1.0283160589246874,2
2024-03-28,1.0236084765785745,2
2024-03-29,1.0186321683803536,2
2024-03-30,1.0162814650016307,2
2024-03-31,1.1256571278008327,2
2024-04-01,1.5748278884890237,2
2024-04-02,1.0,2
2024-04-03,1.0168758889999239,2
2024-04-04,1.0233186604035087,2
2024-04-05,1.0253011173569113,2
2024-04-06,1.0255447625218164,2
2024-04-07,1.0288725836432078,2
2024-04-08,1.030800738438869,2
2024-04-09,1.0295576916103906,2
2024-04-10,1.0296632589333607,2
2024-04-11,1.030290196530175,2
2024-04-12,1.0289813178663128,2
2024-04-13,1.0254952154823236,2
2024-04-14,1.0246728255263624,2
2024-04-15,1.0255546816186736,2
2024-04-16,1.0250652059604939,2
2024-04-17,1.0252927137706436,2
2024-04-18,1.0249183647871816,2
2024-04-19,1.0236653918187915,2
2024-04-20,1.0238015775381863,2
2024-04-21,1.024246820292839,2
2024-04-22,1.0251679112512924,2
2024-04-23,1.0260675130820711,2
2024-04-24,1.0260688396821662,2
2024-04-25,1.0260263852444669,2
2024-04-26,1.0260699606321273,2
2024-04-27,1.0340511242954598,2
2024-04-28,1.034186842154521,2
2024-04-29,1.0362376250151242,2
2024-04-30,1.0332792983339396,2
2024-05-01,1.0387914852794917,2
2024-05-02,1.0387620673278506,2
2024-05-03,1.03611673540623,2
2024-05-04,1.0335303188723424,2
2024-05-05,1.0297174560659152,2
2024-05-06,1.0209875129866266,2
2024-05-07,1.0108739808448295,2
2024-05-08,1.3202796803804486,2
2024-05-09,1.6412494203729868,2
2024-05-10,2.7707611847111564,2
2024-05-11,3.541456684153689,2
2024-05-12,2.8533474845522706,2
2024-05-13,2.4565894238664403,2
2024-05-14,1.6941428647054366,2
2024-05-15,3.7758329819777114,2
2024-05-16,3.0935947253219065,2
2024-05-17,1.617054705484614,2
2024-05-18,1.2219187491468702,2
2024-05-19,1.1079157827563764,2
2024-05-20,1.02771269880554,2
2024-05-21,1.0398287492231983,2
2024-05-22,1.043641772825596,2
2024-05-23,1.050461963861262,2
2024-05-24,1.0529037814464224,2
2024-05-25,1.0536299324878842,2
2024-05-26,1.0578345959526203,2
2024-05-27,1.0577424782906633,2
2024-05-28,1.0576989526612492,2
2024-05-29,1.057359115875718,2
2024-05-30,1.058270026488622,2
2024-05-31,1.059514107475743,2
2024-06-01,1.0595349104917975,2
2024-06-02,1.059682342268135,2
2024-06-03,1.0616990266999293,2
2024-06-04,1.0626386033683661,2
2024-06-05,1.0624038247750487,2
2024-06-06,1.0617869572516323,2
2024-06-07,1.0589431773173938,2
2024-06-08,1.0589239386343845,2
2024-06-09,1.0587914633859772,2
2024-06-10,1.0584705452729795,2
2024-06-11,1.0547120045689815,2
2024-06-12,1.0540293566512084,2
2024-06-13,1.053263117190471,2
2024-06-14,1.0558052436132992,2
2024-06-15,1.0580145413416182,2
2024-06-16,1.0572246961752523,2
2024-06-17,1.0594420987312603,2
2024-06-18,1.0491011909861088,2
2024-06-19,1.0352327606689882,2
2024-06-20,1.0,2
2024-06-21,1.65216371808775,2
2024-06-22,2.4536536361978323,2
2024-06-23,2.862579956881398,2
2024-06-24,1.7987928554415047,2
2024-06-25,1.3841529707845424,2
2024-06-26,1.0815872544459242,2
2024-06-27,1.0437656692962693,2
2024-06-28,1.008251109617163,2
2024-06-29,1.0174023789443436,2
2024-06-30,1.019359867062161,2
2024-07-01,1.0197815333557467,2
2024-07-02,1.0224833920723633,2
2024-07-03,1.0320367882119954,2
2024-07-04,1.0349947381652789,2
2024-07-05,1.0419531838751515,2
2024-07-06,1.0428507787993897,2
2024-07-07,1.0420748505010313,2
2024-07-08,1.0422000540106064,2
2024-07-09,1.0421300198961279,2
2024-07-10,1.0431756605222995,2
2024-07-11,1.043501219293883,2
2024-07-12,1.0429430557662156,2
2024-07-13,1.043020747263148,2
2024-07-14,1.0424922589856898,2
2024-07-15,1.0329506250492146,2
2024-07-16,1.0357042146522113,2
2024-07-17,1.8524997606119613,2
2024-07-18,1.0249671100505375,2
2024-07-19,1.0321991188622486,2
2024-07-20,1.033496086045043,2
2024-07-21,1.0336203303784623,2
2024-07-22,1.0324249524655664,2
2024-07-23,1.0411460076527177,2
2024-07-24,1.0392741218408745,2
2024-07-25,1.0343031838452266,2
2024-07-26,1.028004527377796,2
2024-07-27,1.0206745280807739,2
2024-07-28,1.0038262785379835,2
2024-07-29,1.0,2
2024-07-30,1.1218691670005965,2
2024-07-31,1.3185933664045966,2
2024-08-01,1.5480649087744198,2
2024-08-02,2.9106072091293864,2
2024-08-03,1.582366418576031,2
2024-08-04,1.0402363525459937,2
2024-08-05,1.0417411295885413,2
2024-08-06,1.0436078987998785,2
2024-08-07,1.045160390133586,2
2024-08-08,1.0253266196320625,2
2024-08-09,1.0237211972638565,2
2024-08-10,1.0153787222451363,2
2024-08-11,1.0158948584646024,2
2024-08-12,1.0216476507869865,2
2024-08-13,1.0187297678997433,2
2024-08-14,1.0135207279252822,2
2024-08-15,1.0149949778250962,2
2024-08-16,1.0,2
2024-08-17,1.0077730854780502,2
2024-08-18,1.014900286545509,2
2024-08-19,1.0,2
2024-08-20,1.0097283287606666,2
2024-08-21,1.2203294577267745,2
2024-08-22,1.3899640440466734,2
2024-08-23,2.5390514278185328,2
2024-08-24,3.3505241175005276,2
2024-08-25,3.6833918645232444,2
2024-08-26,3.68628923564515,2
2024-08-27,2.495606540252896,2
2024-08-28,1.9854485010999519,2
2024-08-29,1.6330537306646882,2
2024-08-30,1.1438272779546577,2
2024-08-31,1.0074961817322996,2
2024-09-01,1.019292510029732,2
2024-09-02,1.0168496867743104,2
2024-09-03,1.0267252358044272,2
2024-09-04,1.027704252804794,2
2024-09-05,1.0303988735605398,2
2024-09-06,1.0299265549533712,2
2024-09-07,1.0308058654049073,2
2024-09-08,1.0309607831025387,2
2024-09-09,1.0295515383537617,2
2024-09-10,1.0285132000378823,2
2024-09-11,1.0272116659057904,2
2024-09-12,1.0256945959071178,2
2024-09-13,1.0151001981011003,2
2024-09-14,1.0050988993317267,2
2024-09-15,1.00439415863311,2
2024-09-16,1.0174264398977997,2
2024-09-17,1.0150141052324504,2
2024-09-18,1.0,2
2024-09-19,1.5299310209576895,2
2024-09-20,2.1890214212307764,2
2024-09-21,2.864040336236765,2
2024-09-22,3.5335697761548244,2
2024-09-23,3.1091192258816642,2
2024-09-24,2.0049173129452442,2
2024-09-25,1.7086739060638672,2
2024-09-26,1.6155005503028739,2
2024-09-27,1.3609097936236656,2
2024-09-28,1.2318456630717118,2
2024-09-29,1.1442073457902673,2
2024-09-30,1.284433787770873,2
2024-10-01,2.3155728129502338,2
2024-10-02,3.3388141403310225,2
2024-10-03,2.384920063250684,2
2024-10-04,2.468690551789418,2
2024-10-05,2.753551383130654,2
2024-10-06,3.0808999844238616,2
2024-10-07,3.1299971977838528,2
2024-10-08,2.7883863542964167,2
2024-10-09,1.5335130813167013,2
2024-10-10,1.088516050349739,2
2024-10-11,1.494651256319983,2
2024-10-12,1.9460185108412564,2
2024-10-13,2.5362132105027055,2
2024-10-14,3.7824251941835985,2
2024-10-15,2.6902943686008314,2
2024-10-16,1.920391822549625,2
2024-10-17,1.630664683319508,2
2024-10-18,1.3555680747656875,2
2024-10-19,1.1943334995613881,2
2024-10-20,1.0013684711141315,2
2024-10-21,1.00412472259314,2
2024-10-22,1.0027404534545108,2
2024-10-23,1.1147148703456111,2
2024-10-24,1.2058165200698872,2
2024-10-25,1.4889768290681193,2
2024-10-26,1.600840108888793,2
2024-10-27,1.6420273301706723,2
2024-10-28,1.5338166239411193,2
2024-10-29,1.3437091738553621,2
2024-10-30,1.2049171121662476,2
2024-10-31,1.2780464312678643,2
2024-11-01,1.3569195543704893,2
2024-11-02,1.4441245137338707,2
2024-11-03,1.6174552835657028,2
2024-11-04,1.9786235546476831,2
2024-11-05,2.225407752503737,2
2024-11-06,1.7121158766507911,2
2024-11-07,1.1138878470328175,2
2024-11-08,1.011760148897162,2
2024-11-09,1.0292703411343547,2
2024-11-10,1.0411804587063804,2
2024-11-11,1.0506714884747814,2
2024-11-12,1.0459652684778917,2
2024-11-13,1.0538302803130553,2
2024-11-14,1.0522838604045686,2
2024-11-15,1.0565308274023704,2
2024-11-16,1.059919941968203,2
2024-11-17,1.0600497731789038,2
2024-11-18,1.0608865531812408,2
2024-11-19,1.0619888236053012,2
2024-11-20,1.060434097109295,2
2024-11-21,1.0551702619925616,2
2024-11-22,1.0501979101353942,2
2024-11-23,1.057784403639003,2
2024-11-24,1.0608276809319452,2
2024-11-25,1.0884322044973975,2
2024-11-26,1.084269059970284,2
2024-11-27,1.0721200497169256,2
2024-11-28,1.0807405973224402,2
2024-11-29,1.0886315205472257,2
2024-11-30,1.0979033422426276,2
2024-12-01,1.0997092156182093,2
2024-12-02,1.0954174229059888,2
2024-12-03,1.0931279714398918,2
2024-12-04,1.0909944432101877,2
2024-12-05,1.0919162187342162,2
2024-12-06,1.087745207130338,2
2024-12-07,1.086136123312154,2
2024-12-08,1.0851171331564442,2
2024-12-09,1.0788319986098205,2
2024-12-10,1.0772373927892624,2
2024-12-11,1.0706499976821513,2
2024-12-12,1.075111214512583,2
2024-12-13,1.0752477284929527,2
2024-12-14,1.075258291054059,2
2024-12-15,1.0745263262914413,2
2024-12-16,1.0747223765019307,2
2024-12-17,1.075605105284969,2
2024-12-18,1.0663648520526239,2
2024-12-19,1.0618017499037091,2
2024-12-20,1.0597886262837213,2
2024-12-21,1.056316013285945,2
2024-12-22,1.0516353848521856,2
2024-12-23,1.055048061137627,2
2024-12-24,1.058213884464883,2
2024-12-25,1.0599364672445157,2
2024-12-26,1.054146286215464,2
2024-12-27,1.0549399759110345,2
2024-12-28,1.0516734535859396,2
2024-12-29,1.0531541186946807,2
2024-12-30,1.0503427670076544,2
2024-12-31,1.0482976808889701,2
