date,BTCUSDT_PERP,ETHUSDT_PERP
2024-01-01,0.0,0.0
2024-01-02,0.0,0.0
2024-01-03,0.0,0.0
2024-01-04,0.0,0.0
2024-01-05,0.0,0.0
2024-01-06,0.0,0.0
2024-01-07,0.0,0.0
2024-01-08,0.0,0.0
2024-01-09,0.0,0.0
2024-01-10,0.0,0.0
2024-01-11,5768.657565800276,4231.342434199724
2024-01-12,3439.88640825785,4072.955987090013
2024-01-13,3198.6098477866694,4502.039535733265
2024-01-14,2697.8409026749914,3941.3113977036014
2024-01-15,2455.6237554334416,4098.207336202435
2024-01-16,2348.152865107251,4387.191369446349
2024-01-17,2154.1788720482273,4218.234291326128
2024-01-18,1559.8377784825084,3796.951972979913
2024-01-19,1217.5399634029095,3710.580259312787
2024-01-20,790.4836520255477,3021.8109284778643
2024-01-21,543.6008346861454,2880.128189720927
2024-01-22,-1.1368683772161603e-13,1840.2267859371464
2024-01-23,-540.7515286793158,1958.1520269090595
2024-01-24,-1690.8134719058635,2090.434973307476
2024-01-25,-1813.690336313416,714.6972622117821
2024-01-26,-899.5063969694286,280.7037499590008
2024-01-27,-257.5832868229677,1.1368683772161603e-13
2024-01-28,99.00982332315778,101.61472944769477
2024-01-29,545.8093051089977,1.1368683772161603e-13
2024-01-30,1045.3661512710407,211.09856490005077
2024-01-31,1403.4819646467843,1.1368683772161603e-13
2024-02-01,1503.3245353304978,100.58101621500755
2024-02-02,1627.1168179086226,197.6772649599621
2024-02-03,1978.101737082004,250.5757076602446
2024-02-04,1930.569556442105,260.6217923816602
2024-02-05,1722.8582200520436,1.1368683772161603e-13
2024-02-06,2080.3288546473996,408.05581269115913
2024-02-07,3264.573822581584,1504.967245721379
2024-02-08,4820.568275142841,1808.0820733662435
2024-02-09,6125.256172358559,2466.19161716044
2024-02-10,7040.175653503087,2959.824346496914
2024-02-11,6780.119403937071,3219.8805960629297
2024-02-12,6492.369032243733,3507.630967756268
2024-02-13,6189.825293804864,3810.174706195136
2024-02-14,5904.072754791963,4095.927245208038
2024-02-15,5525.019050730736,4474.980949269265
2024-02-16,5525.019050730736,4474.980949269265
2024-02-17,5472.146293773142,4527.853706226859
2024-02-18,5521.275900184015,4478.724099815987
2024-02-19,5433.186313557734,4566.813686442268
2024-02-20,5433.186313557734,4566.813686442268
2024-02-21,5511.441251943239,4488.558748056763
2024-02-22,5422.347203293127,4577.652796706876
2024-02-23,5481.7548517646255,4518.245148235377
2024-02-24,5481.7548517646255,4518.245148235377
2024-02-25,5570.896401958209,4429.103598041794
2024-02-26,5891.338547787779,4108.661452212222
2024-02-27,5237.170057216533,4762.82994278347
2024-02-28,4429.172535766945,5570.827464233058
2024-02-29,4586.748233607278,5413.251766392725
2024-03-01,4617.9691109053465,5382.030889094656
2024-03-02,4617.9691109053465,5382.030889094656
2024-03-03,4617.9691109053465,5382.030889094656
2024-03-04,4385.186698911689,5614.813301088312
2024-03-05,3408.5476832437307,5789.436287792437
2024-03-06,3648.970486528484,5007.327453754746
2024-03-07,3916.1579659611793,5222.584429701335
2024-03-08,4250.869199073962,5378.096174806924
2024-03-09,4451.01591449089,5548.984085509111
2024-03-10,4556.0146173461835,5443.985382653818
2024-03-11,4666.163291212249,5333.836708787752
2024-03-12,4778.548348455949,5117.522636023018
2024-03-13,4857.739324159122,5142.260675840878
2024-03-14,4786.700786937196,4712.209871178558
2024-03-15,4102.245053152307,3517.734187122833
2024-03-16,3578.677517449111,2106.449494111614
2024-03-17,4273.957860846605,2801.4636550300984
2024-03-18,4415.603224571333,2590.1405232422717
2024-03-19,2390.302267430735,1075.4330785654001
2024-03-20,2554.216105719499,1252.3550898604474
2024-03-21,2701.4965564051117,1523.1907647545747
2024-03-22,2901.6143139241726,1359.5040117385845
2024-03-23,3309.6883378444722,1612.3232561907519
2024-03-24,3651.328697143967,1808.804699009985
2024-03-25,3730.55077888276,2023.6719929974818
2024-03-26,3871.429997709907,1842.2052281631109
2024-03-27,3370.7353066813725,1570.1914421538506
2024-03-28,3430.260662963158,1094.1598295801434
2024-03-29,3450.30886526335,748.2957194277842
2024-03-30,3306.9347567547134,589.1626737961127
2024-03-31,3218.5394552986522,-204.41444375368246
2024-04-01,2971.795487846577,-734.6876917481885
2024-04-02,1962.2615432133305,5.684341886080801e-13
2024-04-03,2699.5399009075227,600.7401263098049
2024-04-04,3460.143157865289,1094.4836338168848
2024-04-05,4013.88785391436,1479.2394016277644
2024-04-06,4649.2553845285165,1751.28858026112
2024-04-07,4980.221760236657,2217.1285422213828
2024-04-08,5174.075166323993,2464.691859071582
2024-04-09,4717.195201285715,2215.004506331188
2024-04-10,5118.026168656247,2383.070956290187
2024-04-11,5201.475724411948,2582.5638895404604
2024-04-12,4372.930830899186,2022.77846771573
2024-04-13,3721.516935263885,1494.5839668142758
2024-04-14,3794.818559748585,1440.3228334494015
2024-04-15,3537.748253071406,1358.5845269371264
2024-04-16,3610.4104104485596,1293.0767724804427
2024-04-17,3181.6051304236685,1208.195784674069
2024-04-18,3358.0579427456455,1255.860800859658
2024-04-19,3540.768656438675,1176.414133216891
2024-04-20,3748.7972414960886,1265.0636432125032
2024-04-21,3955.7277257988044,1382.3740379399396
2024-04-22,4340.809881848605,1603.4112170211865
2024-04-23,4597.356624121193,1766.7430354605356
2024-04-24,4270.700528485326,1680.109814058198
2024-04-25,4242.170975034,1664.65290027007
2024-04-26,4089.6577713537367,1611.5628321490099
2024-04-27,3729.795999709996,1723.1821308752383
2024-04-28,3710.1454298698354,1701.7749003088618
2024-04-29,3588.6587715733212,1586.3421339129254
2024-04-30,2344.5691855691493,1099.577033518195
2024-05-01,1262.9937227508804,800.4691255615719
2024-05-02,862.3884970699476,533.0194955577781
2024-05-03,1385.7683923380991,673.1867233248306
2024-05-04,1591.452805611175,628.7060228642754
2024-05-05,1853.4438968989175,574.9560149340452
2024-05-06,1973.7448593399401,356.8485003274253
2024-05-07,1757.3497833639296,140.8112194594042
2024-05-08,1757.3497833639296,-271.2375309492867
2024-05-09,2351.069418286284,-654.5447061759573
2024-05-10,2748.7395162931857,-1656.6329449496104
2024-05-11,2035.3530717795288,-2405.151600105335
2024-05-12,1822.9196424619856,-2918.0560619010134
2024-05-13,1743.777438165443,-3330.862774725868
2024-05-14,820.7454516463571,-2783.082931312427
2024-05-15,3426.854406067752,-3149.2921374895277
2024-05-16,4544.576327371379,-3060.1221374033084
2024-05-17,4223.295442170308,-1122.7566554242212
2024-05-18,3923.776993688844,-428.822347752033
2024-05-19,3837.457866935526,-213.06208982575984
2024-05-20,4020.973951914919,1052.2601985271385
2024-05-21,4187.463307741874,1594.3691500860878
2024-05-22,4118.911497504514,1956.4403701947
2024-05-23,3956.7437672319734,2499.774909254669
2024-05-24,4086.3632328697427,2795.358319117984
2024-05-25,4344.597829759591,3170.238568812082
2024-05-26,4323.75775721704,3665.582585888231
2024-05-27,4601.529902631945,4216.550487759139
2024-05-28,4466.0912297928135,4410.797868939548
2024-05-29,4201.164830572976,4166.767018042745
2024-05-30,4310.587156757252,3910.099362817701
2024-05-31,3951.966207686061,4159.438328364873
2024-06-01,3976.660884530224,4382.476830196572
2024-06-02,4009.457605763383,4493.802343112875
2024-06-03,4212.714827841546,4525.3989413625295
2024-06-04,4809.721637794514,4910.897716304075
2024-06-05,5070.681225395685,4929.318774604314
2024-06-06,5492.199791972032,4507.800208027968
2024-06-07,5627.11107001959,4002.1259872842074
2024-06-08,5762.228328751718,4089.0680944738715
2024-06-09,5861.546761689771,4138.453238310229
2024-06-10,5961.214931271067,4038.7850687289338
2024-06-11,4639.944399931605,3098.6314476834195
2024-06-12,4459.808765356022,2947.886612955287
2024-06-13,3556.362980253687,2442.548365597882
