date,total_pnl,price_pnl,funding_pnl,costs,equity
2020-02-10,0.0,0.0,0.0,0.0,5000.0
2020-02-11,0.0,0.0,0.0,0.0,5000.0
2020-02-12,0.0,0.0,0.0,0.0,5000.0
2020-02-13,0.0,0.0,0.0,0.0,5000.0
2020-02-14,0.0,0.0,0.0,0.0,5000.0
2020-02-15,0.0,0.0,0.0,0.0,5000.0
2020-02-16,0.0,0.0,0.0,0.0,5000.0
2020-02-17,0.0,0.0,0.0,0.0,5000.0
2020-02-18,0.0,0.0,0.0,0.0,5000.0
2020-02-19,0.0,0.0,0.0,0.0,5000.0
2020-02-20,-1.3273886271051347,0.0,0.0,1.3273886271051347,4998.672611372895
2020-02-21,-8.28516159641801,-7.0982918648578535,-0.8206022760688778,0.3662674554912805,4990.387449776477
2020-02-22,7.793570343913117,10.87542156718377,-2.7266242056813383,0.3552270175893141,4998.18102012039
2020-02-23,-118.23459015169773,-112.6817905601889,-5.29287323764759,0.25992635386124635,4879.946429968692
2020-02-24,99.37258812299392,102.1011541940393,-2.5335102505213998,0.19505582052397907,4979.319018091686
2020-02-25,204.92088940783862,208.1036928649667,-2.709236106423125,0.4735673507049346,5184.239907499525
2020-02-26,302.3781801554451,306.1914649269945,-2.820640981419801,0.9926437901296369,5486.61808765497
2020-02-27,-118.36541322111104,-115.91549136411851,-1.4153279450338276,1.0345939119586944,5368.252674433858
2020-02-28,77.66365773597711,81.37917322213403,-2.6516886296356152,1.063826856521285,5445.916332169836
2020-02-29,131.8650261094296,144.6232163880989,-11.139960229257417,1.6182300494118547,5577.781358279266
2020-03-01,33.26286205908737,39.89631732442791,-6.006448702860924,0.6270065624796272,5611.044220338353
2020-03-02,-418.2498380226064,-415.3540050270775,-2.5099931308026413,0.38583986472628884,5192.794382315747
2020-03-03,138.90647793265464,140.98307039933133,-1.8815929305759191,0.19499953610076065,5331.700860248401
2020-03-04,-33.26871437918382,-31.000643867125476,-2.031870510504285,0.23620000155406218,5298.4321458692175
2020-03-05,-255.6449771279543,-250.63565167459197,-4.624967526305079,0.3843579270572516,5042.7871687412635
2020-03-06,-213.0402764869334,-206.39995928982586,-6.28282929454816,0.35748790255940965,4829.746892254329
2020-03-07,237.67631653188687,245.49339663786049,-7.612210252265424,0.2048698537081985,5067.4232087862165
